Request ID,User Define Status,Techinical Status,Target Status,DTP,Created On ,Created Date,Last Changed By ,Start Time ,Finish Time ,Last Execution Time,Lines Read,Lines Transferred,Source,Source Type,Target,Target Type,PROCESSMODE,Request ID
107,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,91,93,106.70","2,02,50,11,91,93,110.20",20250119,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_876R7YSQJWRMOBN97RHTRRKVH
117,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,01,93,108.00","2,02,50,12,01,93,111.50",20250120,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_70JBW1GDPMUGOGHPZWEFIZECT
124,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,11,93,107.50","2,02,50,12,11,93,111.00",20250121,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_0K9CWJ7NEJW3YFV0BIV2W086L
127,4,4,4,DTP_18QV6XXFT0VN2XAX5MPTHHSK0,"2,02,50,10,81,85,545",20250108,BEST,"2,02,50,12,21,73,642.50",0,20250122,0,0,0TCT_DS25                     BW75S4H001,DTASRC,0TCT_C25,CUBE,,DTPR_4AJ48GR1TLKD09CDQ0J1YDRAL
134,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,21,93,109.00","2,02,50,12,21,93,112.40",20250122,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_7LVSJ2KAMZ1X1VJTMW8D4HSA5
141,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,31,93,107.80","2,02,50,12,31,93,111.20",20250123,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_360F1VDACPDV5KDEPT56JX7XP
148,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,41,93,010.80","2,02,50,12,41,93,013.90",20250124,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_8DKC33XJ2AKVSOETFRJ8ODU25
149,2,2,2,DTP_7KU36MOUFNCES7S4B2PZC13FM,"2,02,50,12,51,83,943",20250125,BEST,"2,02,50,12,51,83,943.10","2,02,50,12,51,83,954.80",20250125,0,0,0TCTHP24O,ODSO,0TCTHP24I,CUBE,3,DTPR_99EFO9CWUGE2C1HM6Y6PG9WML
157,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,51,93,010.80","2,02,50,12,51,93,013.80",20250125,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_8JVTF9FUYILHA02DSD33CJSZ1
164,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,61,93,014.20","2,02,50,12,61,93,017.70",20250126,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_037UIAWE8DNQMC4P5Z0NXDPWT
171,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,71,93,015.20","2,02,50,12,71,93,019.00",20250127,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_420IFKA64YAO8UCBF3IQD1TNX
178,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,81,93,016.50","2,02,50,12,81,93,020.00",20250128,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_4N86FRE687E7LXRIAM4BJ5ZE5
181,4,4,4,DTP_18QV6XXFT0VN2XAX5MPTHHSK0,"2,02,50,10,81,85,545",20250108,BEST,"2,02,50,12,91,73,708.90",0,20250129,0,0,0TCT_DS25                     BW75S4H001,DTASRC,0TCT_C25,CUBE,,DTPR_A5FQ7NRDSPAKYWPQ2V1ZV8TBH
188,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,12,91,93,016.30","2,02,50,12,91,93,020.00",20250129,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_BC4YA5CPG9BESJ92MET6KIN3H
195,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,13,01,93,019.60","2,02,50,13,01,93,023.70",20250130,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_0I58C201MXJFFT4T7AT3LLV1P
199,2,2,2,DTP_003N7L7ESY9HNV4CBEYTCZJU9,"2,02,50,13,10,95,210",20250131,BEST,"2,02,50,13,10,95,210.30","2,02,50,13,10,95,214.10",20250131,22,22,MDSTMDS                       ZFFSS_HR,DTASRC,MDSTID,IOBJA,7,DTPR_4S6IZO16LPD8NJX0QVUOYDILP
207,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,13,11,93,019.30","2,02,50,13,11,93,022.80",20250131,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_70K89BKV49XG49O9N1VQUVBE5
214,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,11,93,018.00","2,02,50,20,11,93,021.70",20250201,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_8YTI1FX05Y65WQSODEPASQL4D
221,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,21,93,020.00","2,02,50,20,21,93,023.70",20250202,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_CGNY963YQ16WGHY86C0TQXTGT
228,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,31,93,022.10","2,02,50,20,31,93,025.60",20250203,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_1ZFOTSEDQCR6UDF12HCYFNL2L
235,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,41,93,023.40","2,02,50,20,41,93,025.40",20250204,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_6NT2J1BA3IA66XTDVIDAZ7ER1
237,2,2,2,DTP_003N7L7ESY9JE61BMTA5U430X,"2,02,50,20,50,00,813",20250205,BEST,"2,02,50,20,50,00,813.30","2,02,50,20,50,00,816.00",20250205,10,10,ZSMD_A_DS                     ZFF_AV,DTASRC,ZSMID_AV,IOBJA,7,DTPR_8T84EUU3MID65WT1Z7RP4UYCT
240,4,4,4,DTP_18QV6XXFT0VN2XAX5MPTHHSK0,"2,02,50,10,81,85,545",20250108,BEST,"2,02,50,20,51,73,728.80",0,20250205,0,0,0TCT_DS25                     BW75S4H001,DTASRC,0TCT_C25,CUBE,,DTPR_5NJTN3UPDDL0ML7JAMEH9E5PP
247,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,51,93,024.50","2,02,50,20,51,93,028.20",20250205,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_CN2FHLD8N23WPA83D0Z61VDYL
254,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,61,93,025.60","2,02,50,20,61,93,029.30",20250206,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_F07VXRB1VRFKDJ44MAUGHOUI5
263,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,71,93,027.10","2,02,50,20,71,93,029.30",20250207,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_5ARRJJGMXYTZKTUCKDZ3ZEXRH
265,2,2,2,DTP_003N7L7ESY9JE6GUVTHIYV3ZT,"2,02,50,20,72,23,335",20250207,BEST,"2,02,50,20,72,23,335.20","2,02,50,20,72,23,337.80",20250207,12,12,ZSMD_A_DS                     ZFF_AV,DTASRC,ZSMID_AV,IOBJA,7,DTPR_9BHOL91F7KRDNU4SJQ1X8WORX
267,2,2,2,DTP_003N7L7ESY9HNW304M1SJE53S,"2,02,50,20,80,31,517",20250208,BEST,"2,02,50,20,80,31,517.40","2,02,50,20,80,31,519.90",20250208,12,12,ZSMD_T_DS                     ZFF_AV,DTASRC,ZSMID_AV,IOBJT,7,DTPR_1Y7MR0B50884NGPVI10IE7M25
274,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,81,93,026.90","2,02,50,20,81,93,029.90",20250208,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_E4BZM1N3BU7WZF009IM3HLSOD
281,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,20,91,93,028.50","2,02,50,20,91,93,032.20",20250209,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_4ET63ZF864EX8IU3X8614IXD9
288,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,01,93,041.90","2,02,50,21,01,93,051.90",20250210,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_0OF976ET1RFYOWJXB8WND4CJ1
290,2,2,2,DTP_003N7L7ESY9HNW8DQFY7ETMLA,"2,02,50,21,02,15,605",20250210,BEST,"2,02,50,21,02,15,605.90","2,02,50,21,02,15,628.20",20250210,15,15,ZSMD_H_DS                     ZFF_AV,DTASRC,ZSMID_AV,IOBJH,7,DTPR_3JWZ6OIY6HYAABJ1P6EMMT2ST
292,2,2,2,DTP_003N7L7ESY9HNWIT8XX7D3ES9,"2,02,50,21,10,50,419",20250211,BEST,"2,02,50,21,10,50,419.70","2,02,50,21,10,50,422.40",20250211,10,10,ZPDT_A_DS                     ZFF_AV,DTASRC,ZPDTID_AV,IOBJA,7,DTPR_30P8OZCB3DL6QKEGROZGAINHP
294,8,8,2,DTP_003N7L7ESY9HNWIUXMDJPBOQK,"2,02,50,21,10,53,901",20250211,BEST,"2,02,50,21,10,53,901.20","2,02,50,21,10,53,907.90",20250211,18,10,ZSFTD_AV                      ZFF_AV,DTASRC,ZSIC_AV,CUBE,3,DTPR_6WRATQEBWJ4ZZC3866QHTCAJX
301,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,11,93,033.80","2,02,50,21,11,93,038.10",20250211,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_5GXW3LCM1LO4XWGMOKFW5SORX
304,2,2,2,DTP_003N7L7ESY9HNWKSMZDNWASA5,"2,02,50,21,20,54,019",20250212,BEST,"2,02,50,21,20,54,019.00","2,02,50,21,20,54,024.70",20250212,9,8,ZSMD_E_AV                     ZFF_AV,DTASRC,ZSICE_AV,CUBE,3,DTPR_5JVZMS1KSLLHB8ZL4YBCF8031
307,4,4,4,DTP_18QV6XXFT0VN2XAX5MPTHHSK0,"2,02,50,10,81,85,545",20250108,BEST,"2,02,50,21,21,73,632.70",0,20250212,0,0,0TCT_DS25                     BW75S4H001,DTASRC,0TCT_C25,CUBE,,DTPR_B7SJKBGH7PBC9GZV6H3TAOV3H
314,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,21,93,035.00","2,02,50,21,21,93,038.70",20250212,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_EJ57UX9Q12SWB37B3CT4GSW31
315,2,2,2,DTP_003N7L7ESY9JE70B9KIGQKS6D,"2,02,50,21,22,13,257",20250212,BEST,"2,02,50,21,22,13,257.20","2,02,50,21,22,13,303.90",20250212,1,1,DTP_003N7L7ESY9HNWKSMZDNWASA5,DTP,ZSICE_AV,CUBE,1,DTPR_94ENBLIEWXGHEGZTW93ABPMJX
317,8,8,2,DTP_003N7L7ESY9JE70HDEV7CCQ5W,"2,02,50,21,22,33,924",20250212,BEST,"2,02,50,21,22,33,924.10","2,02,50,21,22,33,935.80",20250212,20,20,ZSVTD_AV                      ZFF_AV,DTASRC,ZSDSO_AV,ODSO,E,DTPR_6QP3YTIBVLPJR8YKRG4EFABU5
320,8,8,2,DTP_003N7L7ESY9JE70HDEV7CCQ5W,"2,02,50,21,22,33,924",20250212,BEST,"2,02,50,21,30,00,730.20","2,02,50,21,30,00,735.10",20250213,40,40,ZSVTD_AV                      ZFF_AV,DTASRC,ZSDSO_AV,ODSO,E,DTPR_7BXDJVDBKM5JDN6M3BIB0GZ1P
323,8,8,2,DTP_003N7L7ESY9JE70ZCZ6GOVJH1,"2,02,50,21,30,55,118",20250213,BEST,"2,02,50,21,30,55,118.00","2,02,50,21,30,55,125.10",20250213,20,20,ZVTD_WDSO                     ZFF_AV,DTASRC,ZWDSO_AV,ODSO,E,DTPR_EM6WTPT9IW0Q463Z8WQ3K5G8D
331,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,31,93,035.40","2,02,50,21,31,93,037.90",20250213,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_B9XKI2SKDYR07WWLXUN3WZ59P
333,8,8,2,DTP_003N7L7ESY9JE72NHHKG7I7LJ,"2,02,50,21,40,23,335",20250214,BEST,"2,02,50,21,40,23,335.00","2,02,50,21,40,23,338.30",20250214,20,20,ZVTDD_DSO                     ZFF_AV,DTASRC,ZDSO_FD,ODSO,E,DTPR_7MSI17JNHJ7RF99YUJQ7N565P
335,4,4,2,DTP_003N7L7ESY9JE72NN9PDAWE89,"2,02,50,21,40,23,647",20250214,BEST,"2,02,50,21,40,23,647.80","2,02,50,21,40,23,656.80",20250214,10,10,ZDSO_FD,ODSO,ZSIC_FD,CUBE,1,DTPR_9H7LSG006WUYZIB687XASFP7X
337,4,4,4,DTP_003N7L7ESY9JE72NWF5MYIDCU,"2,02,50,21,40,24,157",20250214,BEST,"2,02,50,21,40,24,157.90","2,02,50,21,40,24,202.30",20250214,40,40,ZVTDD_DSO                     ZFF_AV,DTASRC,ZDSO_FD,ODSO,E,DTPR_8NMQ71A8282P3VALXEJZOP08D
339,4,4,4,DTP_003N7L7ESY9JE72NN9PDAWE89,"2,02,50,21,40,23,647",20250214,BEST,"2,02,50,21,40,24,621.80","2,02,50,21,40,52,312.20",20250214,2,1,ZDSO_FD,ODSO,ZSIC_FD,CUBE,3,DTPR_BNPW3SW0RHLD6XO5BBXSX4X2L
346,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,41,93,037.30","2,02,50,21,41,93,040.60",20250214,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_B1C9LBY8HE7LGG15DXR89K299
350,8,8,2,DTP_003N7L7ESY9HNWQ6T5WILUNVW,"2,02,50,21,50,03,119",20250215,BEST,"2,02,50,21,50,03,119.10","2,02,50,21,50,03,124.20",20250215,20,10,ZVDC_DS                       ZFF_AV,DTASRC,ZSIC_COMP,CUBE,3,DTPR_9YNSVLSOVL6D38O1X37MF60Z1
351,8,8,2,DTP_003N7L7ESY9HNWQ6T5WILUNVW,"2,02,50,21,50,03,119",20250215,BEST,"2,02,50,21,50,03,229.20","2,02,50,21,50,03,231.50",20250215,20,10,ZVDC_DS                       ZFF_AV,DTASRC,ZSIC_COMP,CUBE,3,DTPR_DMSU27DHX93XZVYV3X62N7WX9
358,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,51,93,039.00","2,02,50,21,51,93,041.60",20250215,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_0BNSOGRQ842X9ON3OG4TN2ELP
365,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,61,93,038.90","2,02,50,21,61,93,042.60",20250216,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_6F6LXOQVIFE02DEXLA5QEDO4T
375,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,71,93,040.20","2,02,50,21,71,93,042.70",20250217,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_B3JZMXNRVKWZEXTAEB62XXHT9
383,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,81,93,040.50","2,02,50,21,81,93,044.30",20250218,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_C1JEWR4ZPLZKBRVHXTMAZL0ML
384,2,2,2,DTP_003N7L7ESY9JE7LUKMZSPW2SM,"2,02,50,21,82,22,245",20250218,BEST,"2,02,50,21,82,22,245.80","2,02,50,21,82,22,246.70",20250218,0,0,ZALT_DS_COSB                  NEW FLAT,DTASRC,ZROLL,IOBJA,7,DTPR_0G2XXQ78S4F1FP1UD4H1UK9YL
387,4,4,4,DTP_18QV6XXFT0VN2XAX5MPTHHSK0,"2,02,50,10,81,85,545",20250108,BEST,"2,02,50,21,91,73,619.20",0,20250219,0,0,0TCT_DS25                     BW75S4H001,DTASRC,0TCT_C25,CUBE,,DTPR_0M7J421WRTP4EWFBFFM274HNX
394,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,21,91,93,041.10","2,02,50,21,91,93,045.10",20250219,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_CVF2Z244T3VDQ1EQJ2K85JN8T
396,8,8,2,DTP_003N7L7ESY9HNXALV87XWA6ID,"2,02,50,22,01,12,908",20250220,BEST,"2,02,50,22,01,12,908.50","2,02,50,22,01,12,913.50",20250220,15,15,ZTESTDS                       ZCUST_MAT,DTASRC,ZDS_RANA,ODSO,E,DTPR_DOWNU93EOMPCRUZ7Z9H6JP565
399,8,8,2,DTP_003N7L7ESY9HNXALV87XWA6ID,"2,02,50,22,01,12,908",20250220,BEST,"2,02,50,22,01,13,600.40","2,02,50,22,01,13,604.00",20250220,15,15,ZTESTDS                       ZCUST_MAT,DTASRC,ZDS_RANA,ODSO,E,DTPR_0FRJXHX2LQGBNGL42KN6B6R1P
402,8,8,2,DTP_003N7L7ESY9HNXALV87XWA6ID,"2,02,50,22,01,12,908",20250220,BEST,"2,02,50,22,01,14,946.40","2,02,50,22,01,14,951.40",20250220,15,15,ZTESTDS                       ZCUST_MAT,DTASRC,ZDS_RANA,ODSO,E,DTPR_04YTRKLPT53IQ1J2P0STVPJE5
405,8,8,2,DTP_003N7L7ESY9HNXALV87XWA6ID,"2,02,50,22,01,12,908",20250220,BEST,"2,02,50,22,01,15,149.10","2,02,50,22,01,15,153.60",20250220,16,16,ZTESTDS                       ZCUST_MAT,DTASRC,ZDS_RANA,ODSO,E,DTPR_0UOXR8YV1XA6C1NRXFZQJEP2L
408,4,4,4,DTP_003N7L7ESY9HNXAQE0BMJ9MG8,"2,02,50,22,01,31,055",20250220,BEST,"2,02,50,22,01,31,055.70","2,02,50,22,01,31,058.10",20250220,5,0,ZDS_SALES                     NEW FLAT,DTASRC,ZSMID_AV,IOBJA,7,DTPR_29YKD7BW5RUSZGH07AGL52OH9
409,4,4,4,DTP_003N7L7ESY9HNXARBGV341P2U,"2,02,50,22,01,32,223",20250220,BEST,"2,02,50,22,01,32,223.10","2,02,50,22,01,32,224.40",20250220,5,0,ZDS_SALES                     NEW FLAT,DTASRC,ZSMID_AV,IOBJA,7,DTPR_325OVPWVXDUO9WDQGOJBOM0RX
410,4,4,4,DTP_003N7L7ESY9HNXAQE0BMJ9MG8,"2,02,50,22,01,31,055",20250220,BEST,"2,02,50,22,01,33,001.70",0,20250220,0,0,ZDS_SALES                     NEW FLAT,DTASRC,ZSMID_AV,IOBJA,,DTPR_0DP83KZTCBSZJ6EB2V35KINVX
411,4,4,4,DTP_003N7L7ESY9HNXAQE0BMJ9MG8,"2,02,50,22,01,31,055",20250220,BEST,"2,02,50,22,01,33,015.90","2,02,50,22,01,33,017.70",20250220,5,0,ZDS_SALES                     NEW FLAT,DTASRC,ZSMID_AV,IOBJA,7,DTPR_17JE68G4JO6DJKY6230HD1O4T
412,4,4,4,DTP_003N7L7ESY9HNXAQE0BMJ9MG8,"2,02,50,22,01,31,055",20250220,BEST,"2,02,50,22,01,33,957.30",0,20250220,0,0,ZDS_SALES                     NEW FLAT,DTASRC,ZSMID_AV,IOBJA,,DTPR_6JT8XMJR4G2ZK507YW690XIST
413,4,4,4,DTP_003N7L7ESY9HNXAQE0BMJ9MG8,"2,02,50,22,01,31,055",20250220,BEST,"2,02,50,22,01,34,006.30",0,20250220,0,0,ZDS_SALES                     NEW FLAT,DTASRC,ZSMID_AV,IOBJA,,DTPR_6UGVOACPZCSC9ZX116PV8JQLP
