User,Calculation View,Used In Webi,Last Execution Date,Execution Count
user174,CV_VIEW_089,No,13-08-2024 04:14,13
user109,CV_VIEW_090,No,19-09-2023 21:03,2
user92,CV_VIEW_091,No,07-05-2025 03:08,17
user67,CV_VIEW_092,No,19-11-2024 07:14,7
user120,CV_VIEW_093,No,16-04-2024 15:27,16
user192,CV_VIEW_094,No,02-10-2023 16:41,2
user56,CV_VIEW_095,No,22-01-2023 00:18,23
user153,CV_VIEW_096,No,23-03-2023 16:06,18
user177,CV_VIEW_097,No,01-04-2025 16:38,23
user149,CV_VIEW_098,No,03-06-2024 11:29,8
user232,CV_VIEW_099,No,12-11-2023 10:31,1
user15,CV_VIEW_100,No,20-06-2024 15:24,9
