TRANID,OBJVERS,RULEID,SEQNR,GROUPID,GROUPTYPE,FIELD_USAGE,RULETYPE,REF_RULE,AGGR,NO_CONV,AMDP,ABAP
005UH3A0NNIO9BINCM10OEP0PRMM64UV,A,2,3,1,S,,DIRECT,0,,,,
005UH3A0NNIO9BINCM10OEP0PRMM64UV,A,3,4,1,S,,DIRECT,0,,,,
005UH3A0NNIO9BINCM10OEP0PRMM64UV,A,4,5,1,S,,DIRECT,0,,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,1,2,1,S,,DIRECT,0,,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,2,3,1,S,,DIRECT,0,,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,3,4,1,S,,DIRECT,0,,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,4,5,1,S,,DIRECT,0,,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,5,6,1,S,,DIRECT,0,,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,6,7,1,S,,DIRECT,0,,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,7,8,1,S,,DIRECT,0,,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,8,9,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,9,10,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,10,11,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,11,12,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,12,13,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,13,14,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,14,15,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,15,16,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,16,17,1,S,,DIRECT,0,SUM,,,
00ELQDRUNOJ1QQXPC06L1B9LYQT6BT7D,A,18,21,1,S,,TIME,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,1,2,1,S,,TIME,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,2,3,1,S,,DIRECT,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,3,4,1,S,,DIRECT,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,4,5,1,S,,DIRECT,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,5,6,1,S,,DIRECT,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,6,7,1,S,,DIRECT,0,MAX,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,7,8,1,S,,DIRECT,0,MAX,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,8,9,1,S,,TIME,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,9,10,1,S,,TIME,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,10,11,1,S,,TIME,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,11,12,1,S,,TIME,0,,,,
00G0J52W40FLYGTCUMM5LZN7R9GBJRHK,A,12,13,1,S,,TIME,0,,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,1,2,1,S,,DIRECT,0,,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,2,3,1,S,,DIRECT,0,,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,3,4,1,S,,DIRECT,0,MOV,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,4,5,1,S,,DIRECT,0,MOV,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,5,6,1,S,,DIRECT,0,MOV,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,6,12,2,T,,CONSTANT,0,MOV,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,7,7,1,S,,DIRECT,0,MOV,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,8,8,1,S,,DIRECT,0,MOV,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,9,9,1,S,,DIRECT,0,MOV,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,10,10,1,S,,DIRECT,0,MOV,,,
00IG9LHYZJ6T9BHRKGG39VGHCAQKZ57A,A,11,11,1,S,,DIRECT,0,MOV,,,
00IS9KZ6ROY8R4VQSI427N63DOK5K1LC,A,1,2,1,S,,TIME,0,,,,
00IS9KZ6ROY8R4VQSI427N63DOK5K1LC,A,2,3,1,S,,DIRECT,0,,,,
00IS9KZ6ROY8R4VQSI427N63DOK5K1LC,A,3,4,1,S,,DIRECT,0,,,,
00IS9KZ6ROY8R4VQSI427N63DOK5K1LC,A,4,5,1,S,,DIRECT,0,,,,
00IS9KZ6ROY8R4VQSI427N63DOK5K1LC,A,5,6,1,S,,TIME,0,,,,
00IS9KZ6ROY8R4VQSI427N63DOK5K1LC,A,6,7,1,S,,CONSTANT,0,,,,
00IS9KZ6ROY8R4VQSI427N63DOK5K1LC,A,7,8,0,,,END,0,,,X,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,1,2,1,S,,DIRECT,0,SUM,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,2,3,1,S,,DIRECT,0,SUM,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,3,4,1,S,,DIRECT,0,SUM,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,4,5,1,S,,DIRECT,0,SUM,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,5,6,1,S,,DIRECT,0,SUM,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,6,7,1,S,,DIRECT,0,SUM,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,7,8,1,S,,DIRECT,0,SUM,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,8,9,1,S,,DIRECT,0,SUM,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,9,10,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,10,11,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,11,12,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,12,13,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,13,14,1,S,,TIME,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,14,15,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,15,16,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,16,17,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,17,18,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,18,19,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,19,20,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,20,21,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,21,22,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,22,23,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,23,24,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,24,25,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,25,26,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,26,27,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,27,28,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,28,29,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,29,30,1,S,,DIRECT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,30,31,1,S,,FORMULA,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,31,32,1,S,,FORMULA,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,32,33,1,S,,FORMULA,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,33,34,1,S,,FORMULA,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,34,35,1,S,,CONSTANT,0,,,,
00JBR4AG2UAPX3IP7TBJZGNNRWJ5JQU9,A,35,36,1,S,,FORMULA,0,,,,
00JXQ6DF650WHOLC944SHVUMAV3KNYK7,A,1,2,1,S,,DIRECT,0,,,,
00JXQ6DF650WHOLC944SHVUMAV3KNYK7,A,2,3,1,S,,DIRECT,0,MOV,,,
00JXQ6DF650WHOLC944SHVUMAV3KNYK7,A,3,4,1,S,,DIRECT,0,MOV,,,
00JXQ6DF650WHOLC944SHVUMAV3KNYK7,A,4,5,1,S,,DIRECT,0,MOV,,,
00JXQ6DF650WHOLC944SHVUMAV3KNYK7,A,5,6,1,S,,DIRECT,0,MOV,,,
00JXQ6DF650WHOLC944SHVUMAV3KNYK7,A,6,7,2,T,,CONSTANT,0,MOV,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,1,2,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,2,3,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,3,4,1,S,,TIME,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,4,5,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,5,6,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,6,7,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,7,8,1,S,,CONSTANT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,8,9,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,9,10,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,10,11,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,11,12,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,12,13,1,S,,DIRECT,0,SUM,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,13,14,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,14,15,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,15,16,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,16,17,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,17,18,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,18,19,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,19,20,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,20,21,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,21,22,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,22,23,1,S,,DIRECT,0,,,,
00K7TUX0E8QVA25H4YVYYXG2W2RBUXA3,A,23,24,1,S,,DIRECT,0,,,,
00LS278D51UHCQKZM0CLZHO4JC1JJWGI,A,1,2,1,S,,DIRECT,0,MOV,,,
00LS278D51UHCQKZM0CLZHO4JC1JJWGI,A,2,3,1,S,,DIRECT,0,MOV,,,
00LS278D51UHCQKZM0CLZHO4JC1JJWGI,A,3,4,1,S,,DIRECT,0,,,,
00LS278D51UHCQKZM0CLZHO4JC1JJWGI,A,4,5,1,S,,DIRECT,0,,,,
00LS278D51UHCQKZM0CLZHO4JC1JJWGI,A,5,6,1,S,,DIRECT,0,,,,
00M3OCO3D0QK9YWM4P3KO2FUBGW9XTWJ,A,1,3,1,S,,DIRECT,0,,,,
00M3OCO3D0QK9YWM4P3KO2FUBGW9XTWJ,A,2,4,1,S,,DIRECT,0,MOV,,,
00M3OCO3D0QK9YWM4P3KO2FUBGW9XTWJ,A,3,5,1,S,,DIRECT,0,,,,
00M3OCO3D0QK9YWM4P3KO2FUBGW9XTWJ,A,4,2,0,,,START,0,,,,X
00MRV7Z7Z9Y94I2OMFVHBW2J6E66CB7N,A,1,2,1,S,,DIRECT,0,MOV,,,
00MRV7Z7Z9Y94I2OMFVHBW2J6E66CB7N,A,2,3,1,S,,DIRECT,0,,,,
00O3AITIAZULS2W6EAGNAMS7TNY0IZEE,A,1,2,1,S,,DIRECT,0,,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,1,2,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,2,3,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,3,4,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,4,5,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,5,6,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,6,7,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,7,8,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,8,9,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,9,10,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,10,11,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,11,12,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,12,13,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,13,14,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,14,15,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,15,16,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,16,17,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,17,18,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,18,19,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,19,20,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,20,21,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,21,22,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,22,23,1,S,,DIRECT,0,MOV,,,
00QNEOMP10TZ148HTUWVW4YOQ3JPSWVQ,A,23,24,1,S,,DIRECT,0,,,,
012AC83470NADRXS0L12MNG0Z11TE2ZW,A,1,2,1,S,,DIRECT,0,,,,
012AC83470NADRXS0L12MNG0Z11TE2ZW,A,2,3,1,S,,DIRECT,0,,,,
012AC83470NADRXS0L12MNG0Z11TE2ZW,A,3,4,1,S,,DIRECT,0,MOV,,,
015RKE5VJOUNA93THC7JUPGP89D4E4FP,A,1,2,1,S,,DIRECT,0,,,,
015RKE5VJOUNA93THC7JUPGP89D4E4FP,A,2,3,1,S,,DIRECT,0,,,,
015RKE5VJOUNA93THC7JUPGP89D4E4FP,A,3,4,1,S,,DIRECT,0,,,,
015RKE5VJOUNA93THC7JUPGP89D4E4FP,A,4,5,1,S,,DIRECT,0,SUM,,,
017G4J9M9XMZJ8R9VN3RVF5Z7IG5FDVN,A,1,2,1,S,,DIRECT,0,,,,
017G4J9M9XMZJ8R9VN3RVF5Z7IG5FDVN,A,2,3,1,S,,DIRECT,0,,,,
017V9QYFBD2CW5MQ0VWB1IUK8OA52C1P,A,1,2,1,S,,CONSTANT,0,,,,
017V9QYFBD2CW5MQ0VWB1IUK8OA52C1P,A,2,3,1,S,,DIRECT,0,,,,
017V9QYFBD2CW5MQ0VWB1IUK8OA52C1P,A,3,4,1,S,,DIRECT,0,,,,
01DIOY4YZXNWNAKB7D4IL4EAMGB0OQ8H,A,1,2,1,S,,DIRECT,0,MOV,,,
01DIOY4YZXNWNAKB7D4IL4EAMGB0OQ8H,A,2,3,1,S,,DIRECT,0,,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,1,3,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,2,4,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,3,5,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,4,6,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,5,7,1,S,,TIME,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,6,8,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,7,9,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,8,10,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,9,11,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,10,12,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,11,13,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,12,14,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,13,15,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,14,16,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,15,17,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,16,18,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,17,19,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,18,20,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,19,21,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,20,22,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,21,23,1,S,,DIRECT,0,MOV,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,22,24,1,S,,DIRECT,0,,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,23,25,1,S,,DIRECT,0,,,,
01F2W2M2ZKM71DT2RV5IN84UYAHBGW2N,A,24,2,0,,,START,0,,,,X
01KQML2809E62I0MFZAUJJ5F2FDVUFXQ,A,1,2,1,S,,DIRECT,0,MOV,,,
01KQML2809E62I0MFZAUJJ5F2FDVUFXQ,A,2,3,1,S,,DIRECT,0,,,,
01KQML2809E62I0MFZAUJJ5F2FDVUFXQ,A,3,4,1,S,,ROUTINE,0,,,,X
01MPCEEWU938NT7N8IQMU9A1WJEQL9VH,A,1,2,1,S,,DIRECT,0,,,,
01MPCEEWU938NT7N8IQMU9A1WJEQL9VH,A,2,3,1,S,,DIRECT,0,,,,
01MPCEEWU938NT7N8IQMU9A1WJEQL9VH,A,3,4,1,S,,DIRECT,0,MOV,,,
01MPCEEWU938NT7N8IQMU9A1WJEQL9VH,A,4,5,1,S,,DIRECT,0,MOV,,,
01MPCEEWU938NT7N8IQMU9A1WJEQL9VH,A,5,6,1,S,,DIRECT,0,MOV,,,
01MPCEEWU938NT7N8IQMU9A1WJEQL9VH,A,6,7,2,T,,DIRECT,0,MOV,,,
01MYQEH6JYNU7ZF31HI0U74VMFZMHZ4V,A,1,2,1,S,,DIRECT,0,,,,
01MYQEH6JYNU7ZF31HI0U74VMFZMHZ4V,A,2,3,1,S,,DIRECT,0,,,,
01MYQEH6JYNU7ZF31HI0U74VMFZMHZ4V,A,3,4,1,S,,DIRECT,0,MOV,,,
01MYQEH6JYNU7ZF31HI0U74VMFZMHZ4V,A,4,5,1,S,,DIRECT,0,MOV,,,
01MYQEH6JYNU7ZF31HI0U74VMFZMHZ4V,A,5,6,1,S,,DIRECT,0,MOV,,,
01MYQEH6JYNU7ZF31HI0U74VMFZMHZ4V,A,6,8,2,T,,CONSTANT,0,MOV,,,
01MYQEH6JYNU7ZF31HI0U74VMFZMHZ4V,A,7,7,1,S,,DIRECT,0,,,,
01OU9FOVRJZMETOCPF3MNEVM4X4BZ3S9,A,1,2,1,T,,DIRECT,0,MOV,,,
01OU9FOVRJZMETOCPF3MNEVM4X4BZ3S9,A,2,3,2,S,,DIRECT,0,,,,
01OU9FOVRJZMETOCPF3MNEVM4X4BZ3S9,A,3,4,2,S,,DIRECT,0,MOV,,,
01OU9FOVRJZMETOCPF3MNEVM4X4BZ3S9,A,4,5,2,S,,DIRECT,0,MOV,,,
01OU9FOVRJZMETOCPF3MNEVM4X4BZ3S9,A,5,6,2,S,,DIRECT,0,MOV,,,
01OU9FOVRJZMETOCPF3MNEVM4X4BZ3S9,A,6,7,2,S,,DIRECT,0,MOV,,,
01OU9FOVRJZMETOCPF3MNEVM4X4BZ3S9,A,7,8,2,S,,DIRECT,0,MOV,,,
01OU9FOVRJZMETOCPF3MNEVM4X4BZ3S9,A,8,9,2,S,,DIRECT,0,MOV,,,
01PNCWTTU0W9TLC85SPC0BMUY3I31CHY,A,1,2,1,S,,DIRECT,0,,,,
01PNCWTTU0W9TLC85SPC0BMUY3I31CHY,A,2,3,1,S,,DIRECT,0,,,,
01PNCWTTU0W9TLC85SPC0BMUY3I31CHY,A,3,4,1,S,,CONSTANT,0,MOV,,,
01PNCWTTU0W9TLC85SPC0BMUY3I31CHY,A,4,5,1,S,,DIRECT,0,MOV,,,
