OLTP Datasource,Version,Datasource Type,Application Component,Delta,Real Time,EXMETHOD,Table For Extraction,Extractor Structure,Last Changed By ,Last Changed Date,Last Changed Time,TXTSH,TXTMD,TXTLG
0WS_ANSWER_TEXT,D,TEXT,0CA_SUR-IO,,,F1,UWS_BW_EX_WS_ANSWER_TEXT,UWS_S_BW_WS_ANSWER_TEXT,SAP,08.03.2002,16:07:57,Reply,Reply,Web Survey: Reply
0WS_DATA_1,D,TRAN,0CA_SUR,AIE,,F1,UWS_BW_EX_DATA,UWS_S_BW_WS_DATA,SAP,16.04.2002,13:48:21,Survey Results,Survey Results,Web Survey: Survey Results
0CSM_USER_TEXT,D,TEXT,0CS_CS-IO,,,F2,UDM_CASE_USER_TEXTS,UDM_CASE_USER_TEXT,SAP,13.02.2003,15:52:35,Case User Texts,Case Management: User Texts,Case Management: User Texts
0CSM_CASE_ATTR_DEL,D,ATTR,0CA_CS,AIM,,F1,UDM_BW_GET_DELETED_CASE_DATA,UDM_BW_CASE_ATTR_DEL,SAP,16.09.2003,11:33:37,Deleted Case Data,Deleted Case Data for BW,Deleted Case Data for BW
0CSM_CASE_ATTR,D,ATTR,0CA_CS,AIE,,F1,UDM_BW_GET_CASE_DATA,UDM_BW_CASE_ATTR,SAP,15.05.2003,12:37:22,CM: Case (GUID),Case Management: Case (GUID),Case Management: Case (GUID)
0CSM_CASE_TEXT,D,TEXT,0CA_CS,AIE,,F1,UDM_BW_GET_CASE_DATA,UDM_BW_CASE_ATTR,SAP,15.05.2003,12:37:41,CM: Case Text,Case Management: Case Text,Case Management: Case Text
0TRZONE_TEXT,D,TEXT,0CA_GD-IO,,,V,TZONT,ROTEXTSTR2,SAP,30.09.2003,11:46:13,Transportation Zone,Transport. Zone (e.g. of Ship-To Party),Transportation Zone (e.g. of Ship-To Party)
0BP_TITLESPPL_TEXT,D,TEXT,0CA_BP-IO,,,V,TSAD5T,TSAD5T,SAP,28.08.2002,14:36:56,Name Suffix Texts,SAP BP: Texts for Name Suffix,SAP BP: Extraction of Texts for Name Suffix
0BP_ACTITLE_TEXT,D,TEXT,0CA_BP-IO,,,V,TSAD2T,TSAD2T,SAP,28.08.2002,14:28:51,Texts Academ. Title,SAP BP: Texts for Academic Title,SAP BP: Extraction of Texts for Academic Title
0FS_BP_RATING_TEXT,D,TEXT,0FS_BP,,,V,TPZ22T,TPZ22T,SAP,11.01.2011,14:22:12,Descript. of Ratings,Description of Ratings,Business Partner: Description of Ratings
0FS_BP_RATPROC_TEXT,D,TEXT,0FS_BP,,,V,TPZ21T,TPZ21T,SAP,11.01.2011,14:22:12,Rating Procedure,Description of Rating Procedure,Business Partner: Description of Rating Procedure
0FS_BP_BPGRP_TEXT,D,TEXT,0FS_BP,,,V,TP24T,TP24T,SAP,11.01.2011,14:22:04,Grouping Character,BP: Description of Partner Grouping,BP: Description of Partner Grouping Characteristics
0FS_BP_UNWISH_TEXT,D,TEXT,0FS_BP,,,V,TP18T,TP18T,SAP,11.01.2011,14:22:17,Undesirability,Description of Reason for Undesirability,Business Partner: Description of Reason for Undesirablitiy
0FS_BP_GROUP_TEXT,D,TEXT,0FS_BP,,,V,TP13T,TP13T,SAP,11.01.2011,14:22:09,Partner Target Group,Name of Partner Grouping (Target Group),Business Partner: Name of Partner Grouping (Target Group)
0FS_BP_KWG_TEXT,D,TEXT,0FS_BP,,,V,TP12T,TP12T,SAP,11.01.2011,14:22:10,Credit Standing GBA,Description of Credit Standing Acc. GBA,Business Partner: Description of Credit Standing Acc. to GBA
0FS_BP_EMPSTATUS_TEXT,D,TEXT,0FS_BP,,,V,TP11T,TP11T,SAP,11.01.2011,14:22:06,Employment Status,Description of Employment Status,Business Partner: Description of Employment Status
0FS_BP_INDLOAN_TEXT,D,TEXT,0FS_BP,,,V,TP10T,TP10T,SAP,11.01.2011,14:22:10,Des. Loan to Manager,BP: Description of Loan to Manager,Business Partner: Description of Loan to Manager
0FS_BP_EMPGRP_TEXT,D,TEXT,0FS_BP,,,V,TP05T,TP05T,SAP,11.01.2011,14:22:05,Employee Group,BP: Description of Employee Group,Business Partner: Description of Employee Group
0FS_BP_MARIT_TEXT,D,TEXT,0FS_BP,,,V,TP04T,TP04T,SAP,11.01.2011,14:22:11,Marital Property,Description of Marital Property Regime,Business Partner: Description of Marital Property Regime
0FS_BP_SALUT_TEXT,D,TEXT,0FS_BP,,,V,TP02T,TP02T,SAP,11.01.2011,14:22:15,Salutation,Business Partner: Salutation Text,Business Partner: Salutation Text
0BP_TAXCAT_TEXT,D,TEXT,0CA_BP-IO,,,V,TFKTAXNUMTYPE_T,TFKTAXNUMTYPE_T,SAP,28.08.2002,09:06:59,BP: Tax No. Category,BP: Tax No. Category,BP: Tax No. Category
0VER_DEVCLASS_TEXT,D,TEXT,0VERIFICATION-TEXTS,,,V,TDEVCT,ROXBY30121,SAP,03.08.2010,22:12:18,Package Description,Package Description,Package Description
0VER_DEVCLASS_ATTR,D,ATTR,0VERIFICATION-ATTRIBUTES,,,V,TDEVC,ROXBY30123,SAP,03.08.2010,22:10:40,Package,Package,Package
0FS_BP_TGA_TEXT,D,TEXT,0FS_BP,,,V,TD05T_AT_FS,TD05T_AT_FS,SAP,11.01.2011,14:22:16,Target Group OeNB,BP - Target Group According to OeNB,BP Target Group According to OeNB Indicator Loan to Manager
/IMO/CFS_FX_RATES,D,TRAN,0COPC,,,V,TCURR,/IMO/ROXBHH0107,SAP,06.11.2013,16:36:48,FX Rates,Foreign Exchange Rates,Foreign Exchange Rates
0LOGSYS_TEXT,D,TEXT,0CA_PR-IO,,,V,TBDLST,TBDLST,SAP,12.03.2004,11:26:42,Logical System,Logical System,Logical System
0CMM_PHYS_COMM_TEXT,D,TEXT,CA-GTF-TRB,,,V,TBAV_PHYSC_TEXT,TBAC_PHYSCOMMT,SAP,26.03.2013,08:17:49,Text phys. Commodity,Text physical Commodity,Text physical Commodity
0CMM_PHYS_COMM_ATTR,D,ATTR,CA-GTF-TRB,,,V,TBAV_PHYSC_ATTR,TBAC_PHYSCOMM,SAP,26.03.2013,08:12:46,Physical Commodity,Physical Commodity,Physical Commodity
0CMM_MIC_TEXT,D,TEXT,CA-GTF-TRB,,,V,TBAV_MIC_TEXT,TBAC_MICT,SAP,26.03.2013,08:10:59,Text MIC,Text MIC,Text Market Identifier Code
0CMM_MIC_ATTR,D,ATTR,CA-GTF-TRB,,,V,TBAV_MIC_ATTR,TBAC_MIC,SAP,26.03.2013,08:10:05,MIC,MIC,Market Identifier Code
0CMM_DCS_TEXT,D,TEXT,CA-GTF-TRB,,,V,TBAV_DCS_TEXT,TBAC_DCST,SAP,26.03.2013,08:08:04,Text DCS,Text DCS,Text Derivative Contrat Specification
0CMM_DCS_ATTR,D,ATTR,CA-GTF-TRB,,,V,TBAV_DCS_ATTR,TBAC_DCS,SAP,26.03.2013,09:02:48,DCS,Derivative Contract Specification,Derivative Contract Specification
0CMM_MIC_STATUS_TEXT,D,TEXT,CA-GTF-TRB,,,D,TBA_MIC_STATUS,ROTEXTSTR1,SAP,26.03.2013,08:57:29,Text MIC Status,Text MIC Status,Text Market Identifier Code Status
0CMM_DCS_CATEGORY_TEXT,D,TEXT,CA-GTF-TRB,,,D,TBA_DERIVATIVETYPE,ROTEXTSTR1,SAP,26.03.2013,08:56:02,Text DCS Category,Text DCS Category,Text Derivative Contract Specification Category
0CMM_DCS_STATUS_TEXT,D,TEXT,CA-GTF-TRB,,,D,TBA_DCS_LIFECYCLESTATUS,ROTEXTSTR1,SAP,26.03.2013,08:59:23,Text DCS Status,Text DCS Status,Text DCS Lifecycle Status
0BP_REL_VIP_TEXT,D,TEXT,0CA_BP-IO,,,V,TB917,TB917,SAP,28.08.2002,14:35:37,BP: Cont.Person/VIP,BP: Contact Person/VIP,BP: Contact Partner Relationship/VIP
0BP_REL_AUTH_TEXT,D,TEXT,0CA_BP-IO,,,V,TB915,TB915,SAP,28.08.2002,14:34:47,BP: Cont.Pers/Auth.,BP: Contact Person/Authority,BP: Contact Person Relationship/Authority
0BP_REL_FUNC_TEXT,D,TEXT,0CA_BP-IO,,,V,TB913,TB913,SAP,28.08.2002,14:35:22,BP: Cont.Pers./Func.,BP: Contact Person/Function,BP: Contact Person Relationship/Function
0BP_REL_DEPMNT_TEXT,D,TEXT,0CA_BP-IO,,,V,TB911,TB911,SAP,28.08.2002,14:35:04,BP: Cont.Person/Dept,BP: Contact Partner/Department,BP: Contact Partner Relationship/Department
0BP_ID_TYPE_TEXT,D,TEXT,0CA_BP-IO,,,V,TB039B,TB039B,SAP,28.08.2002,09:06:47,BP: ID Type Texts,BP: Texts for Identification No. Types,BP: Texts for Identification Number Types
0IND_NUMSYS_TEXT,D,TEXT,0CA_BP-IO,,,V,TB038T,TB038T,SAP,28.08.2002,14:39:23,Industry Key Systems,Industry Key Systems,Industry Key Systems
0BP_IND_CODE_TEXT,D,TEXT,0CA_BP-IO,,,V,TB038B,TB038B,SAP,28.08.2002,09:06:47,BP: Industry Texts,BP: Industry Texts,BP: Industry Texts (for InfoObject 0IND_CODE)
0IND_SECTOR_TEXT,D,TEXT,0CA_BP-IO,,,V,TB038B,TB038B,SAP,28.08.2002,09:07:09,BP: Industry Texts,BP: Industry Texts,BP: Industry Texts (for InfoObject 0IND_SECTOR)
0CCARDTYPE_TEXT,D,TEXT,0CA_BP-IO,,,V,TB033T,TB033T,SAP,28.08.2002,14:39:07,Credit Card Type,Credit Card Type,Credit Card Type
0BP_MARST_TEXT,D,TEXT,0CA_BP-IO,,,V,TB027T,TB027T,SAP,28.08.2002,14:32:02,Marital Status Texts,SAP BP: Texts for Marital Status,SAP BP: Extraction of Texts for Marital Status
0BP_GRPTYPE_TEXT,D,TEXT,0CA_BP-IO,,,V,TB026,TB026,SAP,28.08.2002,14:30:43,Group Texts,SAP BP: Group Type Texts,SAP BP: Text Extraction for Group Type
0LEGALFORM_TEXT,D,TEXT,0CA_BP-IO,,,V,TB020,TB020,SAP,28.08.2002,14:40:34,Legal Forms,Legal Forms,Legal Forms
0BPTYPE_TEXT,D,TEXT,0CA_BP-IO,,,V,TB004T,TB004T,SAP,28.08.2002,09:06:39,BP: Partner Type,BP: Business Partner Type,BP: Business Partner Type
0BP_ROLE_TEXT,D,TEXT,0CA_BP-IO,,,V,TB003T,TB003T,SAP,25.11.2003,17:03:00,BP: Roles,BP: Roles,BP: Roles
0BP_GROUP_TEXT,D,TEXT,0CA_BP-IO,,,V,TB002,TB002,SAP,28.08.2002,14:30:25,BP Grouping Texts,SAP BP: Texts for BP Grouping,SAP BP: Extraction of Texts for BP Grouping
0VER_OBJ_NAME_ATTR,D,ATTR,0VERIFICATION-ATTRIBUTES,,,V,TADIR,ROXBY30128,SAP,05.08.2010,18:24:37,Object,Object,Object
0_TEST_T100_2,D,TRAN,0VERIFICATION,,,Q,T100,ROXBS40142,SAP,08.01.2001,12:16:00,test t100,test t100,test t100
0VER_LANGU_TEXT,D,TEXT,0VERIFICATION-TEXTS,,,V,T002T,ROXBS30106,SAP,27.09.2002,13:43:29,Language text,Language text,Language text
0VER_LANGU_ATTR,D,ATTR,0VERIFICATION-ATTRIBUTES,,,V,T002,ROXBS30105,SAP,27.09.2002,13:43:28,Languages,Languages,Languages
0BPM_WI_TYPE_TEXT,D,TEXT,0BPM-IO,,,D,SWW_WITYPE,ROTEXTSTR1,SAP,09.02.2005,08:30:07,Work item type texts,Work item type texts,Work item type texts
0BPM_WI_STAT_TEXT,D,TEXT,0BPM-IO,,,D,SWW_WISTAT,ROTEXTSTR1,SAP,09.02.2005,14:49:53,Status of Work Item,Processing Status of a Work Item,Processing Status of a Work Item
0BPM_WI_DH_STAT_TEXT,D,TEXT,0BPM-IO,,,D,SWW_WIDHST,ROTEXTSTR1,SAP,11.02.2005,11:57:14,Deadline Status,Deadline Status of a Work Item,Deadline Status of a Work Item
0BPM_WI_RELTYPE_TEXT,D,TEXT,0BPM-IO,,,D,SWW_RELTYP,ROTEXTSTR1,SAP,14.02.2005,10:40:26,WorkItem<>Object Rel,Workflow: Type of Work Item<->Object Rel,Workflow: Type of Work Item<->Object Relation
0BPM_WI_DATTYPE_TEXT,D,TEXT,0BPM-IO,,,D,SWW_DATTYP,ROTEXTSTR1,SAP,14.02.2005,10:45:21,Deadline Monitoring,Deadline Monitoring of Work Items,Workflow Runtime: Deadline Monitoring of Work Items
0BPM_ERRORTYPE_TEXT,D,TEXT,0BPM-IO,,,D,SWO_ERRTYP,ROTEXTSTR1,SAP,14.02.2005,10:40:28,Error type,Error type,Error type
0BPM_WI_PRIO_TEXT,D,TEXT,0BPM-IO,,,D,SWD_PRIORI,ROTEXTSTR1,SAP,11.02.2005,11:18:29,Priority of WorkItem,Priority of a Work Item,Priority of a Work Item
0BPM_WF_TYPE_TEXT,D,TEXT,0BPM-IO,,,D,SWD_DWFTYP,ROTEXTSTR1,SAP,11.02.2005,10:21:01,Type of Workflow Def,Type of Workflow Definition,Type of Workflow Definition
0SRM_VE_WKEY_TEXT,D,TEXT,0SRM,,,V,SRM_VE_WT_T,ROXBC90107,SAP,21.08.2003,12:20:35,Weighting Keys,Weighting Keys,Weighting Keys
0SRM_VEGRID_TEXT,D,TEXT,0SRM,,,V,SRM_VE_GROUP_T,ROXCR30164,SAP,14.02.2003,10:44:16,Grouping ID,Grouping ID,Grouping ID
0SRM_VE_GUID_ATTR,D,ATTR,0SRM,AIE,,F1,SRM_VE_GET_ATTR,SRM_VE_GUID_ATTR_STRUC,SAP,30.01.2004,09:58:11,Attrs for Evaluation,Attributes for Vendor Evaluation,Attributes for Vendor Evaluation
0SRM_SUPO_AUTH_1,D,TRAN,QUEUE,AIM,,V,SRM_SUPO_AUTH_T,RSBCTSRM_SUPO_AUTHOBJ_STRUC,SAP,27.11.2003,09:18:51,SuPo Vendor Evaln,Authorization Data for Vendors / SuPo,Authorization Data for Vendors from Supplier Portal
0EPM_EMPLOYEE,D,ATTR,0EPM,,,V,SNWD_EMPLOYEES,ROXBYD0030,SAP,02.07.2010,14:36:23,Employee,Employee,Employee
0EPM_EMPLOYEES,A,ATTR,BW_TECH,,,V,SNWD_EMPLOYEES,ROXKIW0680,BEST,05.06.2025,15:53:06,Employees,Employees,Employees
0EPM_EMPLOYEES,D,ATTR,BW_TECH,,,V,SNWD_EMPLOYEES,ROXKIW0680,SAP,03.05.2016,12:28:05,Employees,Employees,Employees
0IQM_RUNS,D,ATTR,0VERIFICATION,NEWE,X,V,SIQMRUNS,IQM_S_RUNS,SAP,30.05.2008,07:35:13,IQM Runs,Information Quality Runs,Information Quality Runs
