User Name,Report Name,Report Folder Path,Report Type,Is Scheduled,Last Execution Date,No. of Execution,Connection,Universe,Calculation View
user172,Ticket Dashboard,/User Folders/user172/Reports,Crystal,1,2025-01-12 20:42:00,24,EXT_REPORT_CONN,U_HR_MASTER,
user39,PO Details,/User Folders/user39/Dashboards,WebI,0,2023-01-22 11:11:00,80,EXT_REPORT_CONN,U_PRODUCTION,
user250,Ticket Dashboard,/User Folders/user250/Reports,Crystal,0,2023-08-06 03:54:00,27,XYZ,U_HR_MASTER,CV_HR
user70,Production Plan 13,/User Folders/user70/Reports,WebI,0,2024-12-01 08:14:00,1,Move HANA ALL,U_SERVICE,CV_SERV
user156,Customer Insights 15,/SAP Template/Finance,WebI,1,2023-02-27 04:41:00,33,BW HANA ALL,U_PROCUREMENT,CV_PO
user104,Sales Summary,/User Folders/user104/Reports,WebI,0,2025-08-10 10:12:00,28,API_GATEWAY,U_SALES_ANALYSIS,
user66,GL Trial Balance 2,/User Folders/user66/Reports,Crystal,0,2025-06-21 00:47:00,2,Move HANA ALL,U_MANUFACTURING,CV_CAP
user181,GL Trial Balance,/User Folders/user181/Analysis,Crystal,1,2025-02-06 22:02:00,3,ECC_CONN,U_MANUFACTURING,
user12,HR Attrition 2,/SAP Template/Finance,WebI,0,2023-04-23 08:37:00,9,HANA_CONN2,U_FINANCIALS,CV_FIN
user73,Customer Insights,/User Folders/user73/Reports,Crystal,0,2025-06-14 13:38:00,6,BW HANA ALL,U_PRODUCTION,CV_PROD
user164,Ticket Dashboard,/SAP Template/Manufacturing,WebI,0,2025-05-01 07:22:00,3,API_GATEWAY,U_FINANCIALS,
user148,Inventory Snapshot,/User Folders/user148/Dashboards,WebI,0,2024-04-13 11:01:00,23,BW HANA ALL,U_SERVICE,CV_SERV
user100,Ticket Dashboard,/SAP Template/Sales,Crystal,0,2023-06-07 02:48:00,6,LEGACY_SYS,U_PRODUCTION,
user49,Inventory Snapshot,/User Folders/user49/Analysis,Crystal,0,2023-07-18 03:10:00,1,LEGACY_SYS,U_FINANCIALS,
user174,HR Attrition,/User Folders/user174/Reports,WebI,1,2025-02-17 18:33:00,3,XYZ,U_SERVICE,CV_SERV
user184,Inventory Snapshot,/SAP Template/Sales,WebI,1,2024-06-04 14:49:00,22,ORACLE_LINK,U_MANUFACTURING,CV_CAP
user103,HR Attrition,/SAP Template/HR,WebI,1,2023-09-02 10:16:00,9,Move HANA ALL,U_SERVICE,CV_SERV
user244,Forecast Report,/User Folders/user244/Analysis,WebI,1,2023-07-25 22:14:00,22,ECC_CONN,U_PROCUREMENT,
user105,Inventory Snapshot,/User Folders/user105/Analysis,WebI,0,2023-12-29 12:35:00,6,API_GATEWAY,U_HR_MASTER,
user175,Sales Summary,/User Folders/user175/Dashboards,WebI,1,2025-04-20 00:49:00,4,Move HANA ALL,U_INVENTORY,CV_INV
user54,Ticket Dashboard,/User Folders/user54/Dashboards,WebI,0,2024-12-21 06:52:00,14,XYZ,U_MANUFACTURING,CV_CAP
user126,Inventory Snapshot 10,/SAP Template/Finance,Crystal,0,2023-07-22 04:38:00,23,EXT_REPORT_CONN,U_SALES_ANALYSIS,
user220,Customer Insights,/User Folders/user220/Analysis,WebI,1,2024-07-22 03:25:00,4,ORACLE_LINK,U_PRODUCTION,CV_PROD
user152,Capacity Planning,/User Folders/user152/Analysis,WebI,0,2024-01-16 18:47:00,1,ORACLE_LINK,U_FINANCIALS,CV_FIN
user129,Production Plan,/User Folders/user129/Reports,WebI,1,2025-09-12 14:49:00,4,HANA_CONN2,U_PRODUCTION,CV_PROD
user3,PO Details 15,/User Folders/user3/Reports,WebI,1,2024-10-30 19:27:00,9,ECC_CONN,U_HR_MASTER,
user164,Capacity Planning,/User Folders/user164/Reports,Crystal,0,2023-11-02 08:12:00,5,LEGACY_SYS,U_SERVICE,
user126,Ticket Dashboard 6,/User Folders/user126/Dashboards,WebI,1,2024-12-17 07:00:00,101,Move HANA ALL,U_INVENTORY,CV_INV
user249,Customer Insights,/User Folders/user249/Analysis,Crystal,1,2025-06-16 05:22:00,16,XYZ,U_SERVICE,CV_SERV
user44,Ticket Dashboard,/SAP Template/HR,WebI,0,2024-08-06 14:06:00,4,ORACLE_LINK,U_INVENTORY,CV_INV
user160,PO Details,/User Folders/user160/Reports,Crystal,1,2023-05-22 03:16:00,99,BW HANA ALL,U_HR_MASTER,CV_HR
user116,Ticket Dashboard,/User Folders/user116/Analysis,Crystal,1,2023-07-15 15:00:00,28,ORACLE_LINK,U_MANUFACTURING,CV_CAP
user196,PO Details,/User Folders/user196/Reports,WebI,1,2025-09-04 13:51:00,4,ECC_CONN,U_MANUFACTURING,
user126,PO Details,/User Folders/user126/Dashboards,WebI,0,2024-03-03 14:35:00,1,BW HANA ALL,U_MANUFACTURING,CV_CAP
user211,Forecast Report,/SAP Template/Finance,Crystal,0,2025-12-02 04:41:00,10,ECC_CONN,U_SALES_ANALYSIS,
user221,Forecast Report,/SAP Template/HR,Crystal,0,2024-01-08 10:17:00,6,BW HANA ALL,U_FINANCIALS,CV_FIN
user191,PO Details 6,/User Folders/user191/Reports,Crystal,1,2023-02-13 02:42:00,3,ECC_CONN,U_INVENTORY,
user214,Forecast Report 11,/SAP Template/Inventory,Crystal,1,2023-08-10 01:10:00,6,ECC_CONN,U_PROCUREMENT,
user158,PO Details,/SAP Template/Manufacturing,Crystal,1,2023-09-19 19:51:00,3,Move HANA ALL,U_FINANCIALS,CV_FIN
user54,Sales Summary,/SAP Template/Sales,WebI,1,2025-09-03 03:59:00,16,ECC_CONN,U_INVENTORY,
user245,Sales Summary,/User Folders/user245/Dashboards,Crystal,1,2025-10-07 03:05:00,99,EXT_REPORT_CONN,U_FINANCIALS,
user123,Forecast Report,/User Folders/user123/Analysis,WebI,0,2025-10-28 03:51:00,6,BW HANA ALL,U_SALES_ANALYSIS,CV_SLS
user147,Inventory Snapshot,/User Folders/user147/Dashboards,WebI,1,2025-06-21 03:39:00,6,API_GATEWAY,U_INVENTORY,
user233,HR Attrition,/SAP Template/Sales,Crystal,0,2023-06-19 16:08:00,2,BW HANA ALL,U_SALES_ANALYSIS,CV_SLS
user157,GL Trial Balance,/User Folders/user157/Reports,WebI,1,2025-04-24 21:18:00,20,API_GATEWAY,U_MANUFACTURING,
user93,PO Details,/SAP Template/Manufacturing,Crystal,0,2025-12-14 10:58:00,7,API_GATEWAY,U_HR_MASTER,
user189,Forecast Report 16,/SAP Template/Inventory,Crystal,0,2025-08-11 08:37:00,5,Move HANA ALL,U_MANUFACTURING,CV_CAP
user122,PO Details,/User Folders/user122/Analysis,Crystal,0,2025-01-11 19:43:00,2,BW HANA ALL,U_SALES_ANALYSIS,CV_SLS
user219,PO Details,/SAP Template/Sales,WebI,1,2024-07-30 13:54:00,9,BW HANA ALL,U_MANUFACTURING,CV_CAP
user167,PO Details 2,/User Folders/user167/Reports,Crystal,1,2024-11-25 21:20:00,49,ORACLE_LINK,U_SERVICE,CV_SERV
user146,Inventory Snapshot,/User Folders/user146/Dashboards,WebI,1,2024-06-01 10:53:00,2,HANA_CONN2,U_SALES_ANALYSIS,CV_SLS
user105,HR Attrition,/SAP Template/Sales,WebI,1,2024-04-12 18:53:00,3,LEGACY_SYS,U_SALES_ANALYSIS,
user38,GL Trial Balance,/User Folders/user38/Dashboards,WebI,0,2023-07-10 16:36:00,9,EXT_REPORT_CONN,U_INVENTORY,
user165,Ticket Dashboard 20,/User Folders/user165/Reports,WebI,1,2024-05-24 10:18:00,4,EXT_REPORT_CONN,U_HR_MASTER,
user82,PO Details,/SAP Template/Finance,Crystal,1,2023-06-16 19:19:00,4,BW HANA ALL,U_FINANCIALS,CV_FIN
user234,GL Trial Balance,/SAP Template/Manufacturing,Crystal,1,2023-07-09 20:05:00,7,ECC_CONN,U_SERVICE,
user162,Ticket Dashboard,/User Folders/user162/Reports,WebI,1,2025-10-05 04:00:00,11,LEGACY_SYS,U_SALES_ANALYSIS,
user23,Customer Insights,/User Folders/user23/Analysis,WebI,0,2024-08-20 23:47:00,9,Move HANA ALL,U_PRODUCTION,CV_PROD
user50,Sales Summary,/User Folders/user50/Dashboards,WebI,0,2023-03-21 09:07:00,6,ORACLE_LINK,U_INVENTORY,CV_INV
user44,Production Plan,/User Folders/user44/Dashboards,Crystal,1,2025-10-29 07:21:00,17,API_GATEWAY,U_INVENTORY,
user211,PO Details,/User Folders/user211/Dashboards,WebI,1,2023-11-06 10:09:00,8,ORACLE_LINK,U_INVENTORY,CV_INV
user91,Capacity Planning,/SAP Template/Inventory,WebI,1,2025-10-14 02:14:00,32,LEGACY_SYS,U_PRODUCTION,
user214,HR Attrition 4,/User Folders/user214/Reports,WebI,0,2023-07-31 22:05:00,9,EXT_REPORT_CONN,U_INVENTORY,
user11,Capacity Planning 5,/SAP Template/HR,WebI,1,2024-06-13 00:13:00,8,EXT_REPORT_CONN,U_PROCUREMENT,
user193,Ticket Dashboard,/SAP Template/Inventory,Crystal,1,2023-05-23 16:14:00,2,EXT_REPORT_CONN,U_HR_MASTER,
user151,PO Details,/User Folders/user151/Dashboards,Crystal,0,2024-04-18 11:17:00,36,API_GATEWAY,U_FINANCIALS,
user7,Ticket Dashboard 16,/User Folders/user7/Reports,WebI,1,2025-02-16 20:18:00,4,ECC_CONN,U_FINANCIALS,
user187,Ticket Dashboard 16,/User Folders/user187/Analysis,Crystal,0,2023-02-22 05:35:00,29,LEGACY_SYS,U_MANUFACTURING,
user165,Production Plan,/SAP Template/Sales,Crystal,0,2024-09-03 10:16:00,3,LEGACY_SYS,U_HR_MASTER,
user241,Ticket Dashboard,/User Folders/user241/Dashboards,Crystal,1,2025-03-10 13:46:00,21,LEGACY_SYS,U_MANUFACTURING,
user122,GL Trial Balance,/User Folders/user122/Reports,WebI,1,2025-10-29 16:41:00,2,XYZ,U_PROCUREMENT,CV_PO
user37,Production Plan,/User Folders/user37/Reports,WebI,0,2023-01-05 10:25:00,79,XYZ,U_PRODUCTION,CV_PROD
user202,Ticket Dashboard 13,/User Folders/user202/Dashboards,Crystal,0,2025-12-02 10:56:00,6,ORACLE_LINK,U_HR_MASTER,CV_HR
user46,Customer Insights 6,/User Folders/user46/Analysis,Crystal,1,2023-07-02 05:28:00,6,EXT_REPORT_CONN,U_MANUFACTURING,
user51,Forecast Report,/User Folders/user51/Dashboards,Crystal,0,2023-10-26 01:25:00,39,HANA_CONN2,U_MANUFACTURING,CV_CAP
user132,Production Plan 5,/User Folders/user132/Dashboards,WebI,0,2023-01-22 22:19:00,19,HANA_CONN2,U_FINANCIALS,CV_FIN
user103,HR Attrition,/User Folders/user103/Reports,Crystal,0,2025-04-04 10:15:00,4,BW HANA ALL,U_PROCUREMENT,CV_PO
user61,GL Trial Balance,/SAP Template/Finance,Crystal,0,2025-11-15 00:07:00,4,ECC_CONN,U_SALES_ANALYSIS,
user223,Ticket Dashboard,/User Folders/user223/Dashboards,Crystal,0,2024-06-25 07:50:00,3,HANA_CONN2,U_PROCUREMENT,CV_PO
user27,Forecast Report,/User Folders/user27/Reports,WebI,1,2024-10-11 00:01:00,9,API_GATEWAY,U_PRODUCTION,
user93,Customer Insights,/SAP Template/Finance,WebI,0,2024-12-17 12:40:00,2,BW HANA ALL,U_INVENTORY,CV_INV
user158,Customer Insights,/User Folders/user158/Dashboards,WebI,1,2025-02-12 02:47:00,8,LEGACY_SYS,U_PROCUREMENT,
user149,Capacity Planning,/User Folders/user149/Reports,Crystal,1,2023-12-07 04:39:00,8,Move HANA ALL,U_INVENTORY,CV_INV
user143,HR Attrition,/SAP Template/HR,WebI,0,2024-12-08 07:10:00,3,ORACLE_LINK,U_PROCUREMENT,CV_PO
user105,Inventory Snapshot,/User Folders/user105/Reports,WebI,1,2024-12-14 04:18:00,5,LEGACY_SYS,U_PROCUREMENT,
user47,Ticket Dashboard,/User Folders/user47/Dashboards,Crystal,1,2025-02-23 16:19:00,8,ECC_CONN,U_PRODUCTION,
user175,Production Plan,/User Folders/user175/Dashboards,WebI,1,2025-05-14 09:57:00,7,API_GATEWAY,U_HR_MASTER,
user187,Forecast Report,/User Folders/user187/Reports,Crystal,0,2025-10-03 14:28:00,3,XYZ,U_PROCUREMENT,CV_PO
user17,PO Details,/User Folders/user17/Analysis,Crystal,0,2024-05-16 12:04:00,1,EXT_REPORT_CONN,U_PROCUREMENT,
user54,Production Plan,/SAP Template/HR,WebI,0,2025-06-02 14:39:00,5,Move HANA ALL,U_PROCUREMENT,CV_PO
user34,Customer Insights 18,/User Folders/user34/Analysis,WebI,0,2024-07-11 18:15:00,5,ORACLE_LINK,U_MANUFACTURING,CV_CAP
user70,Capacity Planning,/User Folders/user70/Dashboards,WebI,1,2024-06-28 22:27:00,4,HANA_CONN2,U_SALES_ANALYSIS,CV_SLS
user241,PO Details,/User Folders/user241/Reports,Crystal,0,2023-05-17 04:41:00,11,ORACLE_LINK,U_SERVICE,CV_SERV
user115,PO Details,/SAP Template/HR,WebI,1,2025-03-30 03:55:00,3,XYZ,U_PRODUCTION,CV_PROD
user1,Inventory Snapshot,/User Folders/user1/Dashboards,Crystal,0,2024-04-12 14:06:00,83,API_GATEWAY,U_PRODUCTION,
user25,GL Trial Balance 17,/User Folders/user25/Reports,WebI,1,2023-01-31 08:55:00,4,BW HANA ALL,U_FINANCIALS,CV_FIN
user163,HR Attrition 3,/SAP Template/Inventory,Crystal,1,2023-11-06 09:56:00,5,API_GATEWAY,U_SALES_ANALYSIS,
user222,Inventory Snapshot,/SAP Template/Finance,WebI,0,2023-02-07 23:42:00,8,API_GATEWAY,U_SALES_ANALYSIS,
user27,Inventory Snapshot,/SAP Template/Manufacturing,Crystal,0,2025-02-13 17:29:00,6,Move HANA ALL,U_SERVICE,CV_SERV
user135,Customer Insights,/User Folders/user135/Analysis,Crystal,0,2024-07-24 04:51:00,3,EXT_REPORT_CONN,U_HR_MASTER,
user8,HR Attrition,/User Folders/user8/Dashboards,Crystal,0,2025-06-29 11:09:00,14,LEGACY_SYS,U_INVENTORY,
user182,Forecast Report,/User Folders/user182/Reports,Crystal,1,2023-01-29 20:55:00,8,BW HANA ALL,U_INVENTORY,CV_INV
user103,Sales Summary,/User Folders/user103/Analysis,WebI,1,2024-11-18 06:18:00,4,LEGACY_SYS,U_MANUFACTURING,
user142,Production Plan 9,/User Folders/user142/Analysis,Crystal,1,2023-11-01 18:37:00,7,ECC_CONN,U_MANUFACTURING,
user224,Inventory Snapshot 8,/SAP Template/HR,WebI,0,2024-08-23 20:01:00,4,HANA_CONN2,U_INVENTORY,CV_INV
user19,Customer Insights 18,/SAP Template/Manufacturing,Crystal,0,2025-06-23 12:20:00,5,EXT_REPORT_CONN,U_INVENTORY,
user23,GL Trial Balance,/User Folders/user23/Reports,WebI,0,2023-09-12 06:03:00,12,API_GATEWAY,U_MANUFACTURING,
user116,Capacity Planning,/SAP Template/Inventory,Crystal,1,2023-03-15 20:17:00,5,EXT_REPORT_CONN,U_INVENTORY,
user158,Customer Insights,/SAP Template/Sales,WebI,0,2024-11-23 03:35:00,5,ECC_CONN,U_INVENTORY,
user216,Inventory Snapshot 15,/SAP Template/Sales,WebI,1,2024-05-03 16:46:00,1,BW HANA ALL,U_SALES_ANALYSIS,CV_SLS
user215,Production Plan,/User Folders/user215/Reports,WebI,0,2025-08-21 06:36:00,25,EXT_REPORT_CONN,U_SERVICE,
user206,Ticket Dashboard 11,/User Folders/user206/Dashboards,WebI,1,2024-05-26 05:29:00,28,LEGACY_SYS,U_PROCUREMENT,
user172,Customer Insights,/User Folders/user172/Analysis,WebI,1,2025-06-13 21:54:00,1,BW HANA ALL,U_HR_MASTER,CV_HR
user222,Ticket Dashboard,/User Folders/user222/Dashboards,WebI,1,2024-02-17 10:40:00,9,XYZ,U_HR_MASTER,CV_HR
user225,Production Plan,/User Folders/user225/Analysis,WebI,1,2024-06-19 17:47:00,2,EXT_REPORT_CONN,U_INVENTORY,
user247,Ticket Dashboard 17,/SAP Template/Sales,Crystal,0,2023-01-24 19:50:00,3,BW HANA ALL,U_SALES_ANALYSIS,CV_SLS
user5,Ticket Dashboard,/SAP Template/Finance,WebI,1,2025-01-09 20:10:00,5,API_GATEWAY,U_FINANCIALS,
user101,Forecast Report,/User Folders/user101/Reports,Crystal,0,2025-09-12 00:42:00,16,BW HANA ALL,U_HR_MASTER,CV_HR
user114,Capacity Planning,/User Folders/user114/Dashboards,Crystal,1,2024-08-02 22:04:00,4,EXT_REPORT_CONN,U_SALES_ANALYSIS,
user202,Production Plan,/User Folders/user202/Dashboards,Crystal,0,2023-10-30 23:03:00,33,Move HANA ALL,U_INVENTORY,CV_INV
user110,Inventory Snapshot,/User Folders/user110/Reports,WebI,0,2024-04-09 21:00:00,12,Move HANA ALL,U_MANUFACTURING,CV_CAP
user32,Sales Summary,/SAP Template/Manufacturing,WebI,1,2023-03-21 08:54:00,12,EXT_REPORT_CONN,U_HR_MASTER,
user191,Ticket Dashboard,/User Folders/user191/Analysis,WebI,1,2025-03-01 14:22:00,4,XYZ,U_INVENTORY,CV_INV
user66,Ticket Dashboard,/SAP Template/HR,Crystal,1,2023-07-13 07:14:00,6,ORACLE_LINK,U_INVENTORY,CV_INV
user132,Sales Summary,/User Folders/user132/Analysis,Crystal,0,2025-08-05 18:07:00,5,ORACLE_LINK,U_MANUFACTURING,CV_CAP
user229,Forecast Report,/User Folders/user229/Reports,Crystal,0,2025-11-25 15:32:00,3,Move HANA ALL,U_MANUFACTURING,CV_CAP
user225,Production Plan,/SAP Template/Sales,WebI,0,2025-11-08 18:05:00,9,XYZ,U_MANUFACTURING,CV_CAP
user225,Forecast Report 17,/User Folders/user225/Analysis,Crystal,0,2024-10-12 14:43:00,3,API_GATEWAY,U_PROCUREMENT,
user53,Capacity Planning,/SAP Template/Sales,WebI,1,2023-03-08 10:38:00,1,BW HANA ALL,U_PROCUREMENT,CV_PO
user45,Production Plan,/SAP Template/Sales,WebI,0,2024-02-27 21:07:00,5,XYZ,U_INVENTORY,CV_INV
user95,PO Details,/User Folders/user95/Dashboards,Crystal,0,2025-03-28 17:11:00,3,Move HANA ALL,U_PRODUCTION,CV_PROD
user176,Forecast Report,/User Folders/user176/Analysis,WebI,1,2024-06-12 22:31:00,9,XYZ,U_PROCUREMENT,CV_PO
user160,PO Details,/User Folders/user160/Reports,WebI,1,2024-11-04 08:59:00,9,EXT_REPORT_CONN,U_MANUFACTURING,
user151,Customer Insights 4,/SAP Template/Finance,WebI,1,2025-05-31 03:31:00,7,ECC_CONN,U_INVENTORY,
user159,Sales Summary,/User Folders/user159/Analysis,WebI,0,2024-08-08 13:44:00,31,Move HANA ALL,U_PRODUCTION,CV_PROD
user232,GL Trial Balance 1,/SAP Template/Inventory,WebI,1,2023-12-14 03:43:00,36,API_GATEWAY,U_INVENTORY,
user244,GL Trial Balance 12,/SAP Template/HR,WebI,0,2023-04-08 14:43:00,9,EXT_REPORT_CONN,U_FINANCIALS,
user201,GL Trial Balance,/User Folders/user201/Dashboards,Crystal,0,2023-02-12 22:47:00,20,BW HANA ALL,U_FINANCIALS,CV_FIN
user182,Ticket Dashboard,/User Folders/user182/Dashboards,WebI,1,2024-08-25 03:05:00,22,EXT_REPORT_CONN,U_SERVICE,
user56,HR Attrition,/User Folders/user56/Dashboards,Crystal,0,2023-09-16 18:16:00,5,XYZ,U_SERVICE,CV_SERV
user202,Inventory Snapshot 20,/User Folders/user202/Analysis,WebI,1,2023-04-29 14:10:00,3,LEGACY_SYS,U_PRODUCTION,
user47,Production Plan,/User Folders/user47/Reports,WebI,1,2023-10-16 22:45:00,32,ECC_CONN,U_INVENTORY,
user223,Forecast Report,/SAP Template/Inventory,WebI,1,2025-10-18 13:59:00,4,XYZ,U_PRODUCTION,CV_PROD
user181,Production Plan,/SAP Template/HR,WebI,1,2025-05-13 20:12:00,21,ORACLE_LINK,U_MANUFACTURING,CV_CAP
user26,Inventory Snapshot 18,/SAP Template/Finance,WebI,0,2025-06-21 13:17:00,1,BW HANA ALL,U_FINANCIALS,CV_FIN
user72,Capacity Planning,/User Folders/user72/Analysis,Crystal,0,2025-07-16 08:05:00,27,LEGACY_SYS,U_SERVICE,
user112,Sales Summary,/SAP Template/HR,WebI,0,2024-08-05 00:24:00,6,HANA_CONN2,U_SALES_ANALYSIS,CV_SLS
user80,Customer Insights,/SAP Template/Sales,WebI,1,2023-10-13 10:06:00,1,XYZ,U_HR_MASTER,CV_HR
user202,Inventory Snapshot 3,/SAP Template/Sales,WebI,0,2023-05-26 12:08:00,4,ORACLE_LINK,U_SERVICE,CV_SERV
user128,Ticket Dashboard,/User Folders/user128/Analysis,Crystal,1,2025-08-21 14:49:00,5,HANA_CONN2,U_HR_MASTER,CV_HR
user122,GL Trial Balance,/User Folders/user122/Dashboards,WebI,1,2023-05-23 23:33:00,6,Move HANA ALL,U_PRODUCTION,CV_PROD
user18,PO Details,/User Folders/user18/Dashboards,WebI,1,2023-07-28 12:16:00,91,ECC_CONN,U_PRODUCTION,
user11,Capacity Planning,/User Folders/user11/Reports,Crystal,1,2023-03-20 00:52:00,4,ORACLE_LINK,U_MANUFACTURING,CV_CAP
user218,Capacity Planning,/SAP Template/Sales,Crystal,0,2024-12-02 02:51:00,4,ECC_CONN,U_MANUFACTURING,
user84,HR Attrition,/User Folders/user84/Analysis,WebI,1,2023-02-11 00:28:00,6,BW HANA ALL,U_HR_MASTER,CV_HR
user116,Forecast Report,/User Folders/user116/Analysis,WebI,1,2023-06-28 17:23:00,26,BW HANA ALL,U_SERVICE,CV_SERV
user15,Forecast Report,/User Folders/user15/Dashboards,WebI,0,2023-01-04 14:05:00,3,EXT_REPORT_CONN,U_PROCUREMENT,
user239,HR Attrition,/SAP Template/Inventory,WebI,0,2023-01-25 08:28:00,7,Move HANA ALL,U_HR_MASTER,CV_HR
user139,Production Plan,/User Folders/user139/Analysis,WebI,0,2023-01-20 10:41:00,28,ORACLE_LINK,U_SERVICE,CV_SERV
