Datasource,Source System,Version,Object Status,Data Source Type ,Application Name ,Delta,Real Time,Time Dependent Data,Language Dependent Data,Content Release ,Content Timestamp ,Last User By ,Last Used TimeStamp,Last Used Date,TXTMD,TXTLG
ZTESTDS,ZCUST_MAT,M,ACT,D,ZTEST,,,,,,0,BEST,"2,02,50,22,01,12,342",20250220,,
ZSVTD_AV,ZFF_AV,A,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,12,22,128",20250211,Variable Trans Data,Variable Trans Data DS
ZSVTD_AV,ZFF_AV,M,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,12,22,116",20250211,Variable Trans Data,Variable Trans Data DS
ZSTOCK_MOV,T90CLNT090,M,INA,D,MM,AIE,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Stock Movement,Stock Movement
ZSTD_IC_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,STANDARD INFOCUBE
ZST_STOR_F,BW75S4H003,M,,D,,ABR,X,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,Store Data ADSO
ZSSPRDONLINE_DS,ZSS_FFILE,A,ACT,D,ZSS_ORG,,,,,,0,BEST,"2,02,50,80,62,10,026",20250806,Online Purch Transaction,Online Purchase transaction data
ZSSPRDONLINE_DS,ZSS_FFILE,M,ACT,D,ZSS_ORG,,,,,,0,BEST,"2,02,50,80,62,10,012",20250806,Online Purch Transaction,Online Purchase transaction data
ZSSDEMO_DS,ZSS_FFDEMO,M,,D,ZSS_DEMO1,,,,,,0,BEST,"2,02,50,80,81,85,705",20250808,Online class changing,Online class changing Data exration
ZSPRJ_ESLL4,T90CLNT090,M,INA,D,IS-SP-RJ,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Text View: Service Text,Text View: Service Text
ZSPRJ_ESLL3,T90CLNT090,M,INA,D,IS-SP-RJ,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Transaction View: Service Hier.,Transaction View: Service Hierarcy
ZSPRJ_ESLL2,T90CLNT090,M,INA,M,IS-SP-RJ,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Mapping View: Package Number,Mapping View: Package Number
ZSPRJ_ESLL1,T90CLNT090,M,INA,D,IS-SP-RJ,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Transaction View: Service Item,Transaction View: Service Item
ZSPRJ_EKPO,T90CLNT090,M,INA,M,IS-SP-RJ,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,View: Purchasing Document,View: Purchasing Document
ZSMID_AV_T,BW75S4H003,M,,T,,,,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,SalesManId
ZSMID_AV_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,SalesManId
ZSMID_AV_H,BW75S4H003,M,,H,,,,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,SalesManId
ZSMD_T_DS,ZFF_AV,A,ACT,T,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,20,80,25,341",20250208,Sales MD Text,Sales MD Text DataSource
ZSMD_T_DS,ZFF_AV,M,ACT,T,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,20,80,25,327",20250208,Sales MD Text,Sales MD Text DataSource
ZSMD_H_DS,ZFF_AV,A,ACT,H,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,02,14,425",20250210,Sales MD Hier,Sales MD Hierarchy
ZSMD_H_DS,ZFF_AV,M,ACT,H,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,02,14,352",20250210,Sales MD Hier,Sales MD Hierarchy
ZSMD_E_AV,ZFF_AV,A,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,20,53,631",20250212,Trans Error Data,Trans Error Data DS
ZSMD_E_AV,ZFF_AV,M,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,20,53,620",20250212,Trans Error Data,Trans Error Data DS
ZSMD_A_DS,ZFF_AV,A,ACT,M,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,20,42,35,617",20250204,Sales MD Attr,Sales MD Attribute
ZSMD_A_DS,ZFF_AV,M,ACT,M,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,20,42,35,605",20250204,Sales MD Attr,Sales MD Attribute
ZSIVADEMODS,Z_SIVADEMO,A,ACT,D,Z_SIVADEMO,,,,,,0,BEST,"2,02,50,51,20,01,153",20250512,ZSivaDemoMD,ZSivaDemoLD
ZSIVADEMODS,Z_SIVADEMO,M,ACT,D,Z_SIVADEMO,,,,,,0,BEST,"2,02,50,51,20,01,140",20250512,ZSivaDemoMD,ZSivaDemoLD
ZSICV_AV_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Std IC for Vehicle
ZSICE_AV_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Std IC for Error Chk
ZSIC27DS,ZCUS26,A,ACT,D,ZCUS26AC,,,,,,0,BEST,"2,02,50,42,71,12,600",20250427,ZSIC27,ZSIC27
ZSIC27DS,ZCUS26,M,ACT,D,ZCUS26AC,,,,,,0,BEST,"2,02,50,42,71,12,548",20250427,ZSIC27,ZSIC27
ZSIC27_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,ZSIC27
ZSIC_FL_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Std IC for File Load
ZSIC_FD_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Std IC for Full Delta load
ZSIC_COMP_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Infocube for Data Compression
ZSIC_AV_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Std IC for Anchu
ZSFTD_AV,ZFF_AV,A,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,10,53,201",20250211,Fixed Trans Sales data,Fixed Trans Sales Data
ZSFTD_AV,ZFF_AV,M,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,10,53,150",20250211,Fixed Trans Sales data,Fixed Trans Sales Data
ZSDSO26DS,ZCUS26,A,ACT,D,ZCUS26AC,,,,,,0,BEST,"2,02,50,42,62,15,914",20250426,ZSDSO26,ZSDSO26
ZSDSO26DS,ZCUS26,M,ACT,D,ZCUS26AC,,,,,,0,BEST,"2,02,50,42,62,15,901",20250426,ZSDSO26,ZSDSO26
ZSAMPLE_DS,NEW FLAT,A,ACT,D,ZSAMPLE_APC,,,,,,0,BEST,"2,02,50,50,51,40,749",20250505,BILL TRANSACTION DATA,BILL TRANSACTION DATA
ZSAMPLE_DS,NEW FLAT,M,ACT,D,ZSAMPLE_APC,,,,,,0,BEST,"2,02,50,50,51,40,735",20250505,BILL TRANSACTION DATA,BILL TRANSACTION DATA
ZSALESAD_F,BW75S4H003,M,,D,,ABR,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,SALES ADSO
ZSALES1_DS,ZGR_SRC,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,63,01,10,855",20250630,Sales DS,Sales Data Source
ZSALES1_DS,ZGR_SRC,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,63,01,10,840",20250630,Sales DS,Sales Data Source
ZSALES_DS,ZS_RETAIL,A,ACT,D,ZRETAIL_SALES,,,,,,0,BEST,"2,02,50,90,52,21,026",20250905,Retail of Sales Transcation,Retail of Sales Transcation Data
ZSALES_DS,ZS_RETAIL,M,ACT,D,ZRETAIL_SALES,,,,,,0,BEST,"2,02,50,90,52,21,012",20250905,Retail of Sales Transcation,Retail of Sales Transcation Data
ZSALES_AV_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Sales IO Anchu Pack
ZS_SALESC_F,BW75S4H003,M,,D,,ABR,X,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,sales copy
ZS_SALE_F,BW75S4H003,M,,D,,ABR,X,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,Sales Data ADSO
ZRPM_VALUTYPE_TEXT_2,T90CLNT090,M,INA,T,ZZRPM_CUST_AD,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Value Type Text2,Value Type Text2
ZRPM_INITIATIVE_ATTR,T90CLNT090,M,INA,M,ZZRPM_CUST_AD,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Initiative Attr,Initiative Attr
ZRPM_FINANCE_PLAN_COMPARE,T90CLNT090,M,INA,D,ZZRPM_CUST_AD,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Finance Plan/Actual Compare,Finance Plan/Actual Compare
ZRPM_CAPACITY_PLAN_COMPARE,T90CLNT090,M,INA,D,ZZRPM_CUST_AD,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Capacity Plan/Actual Compare,Capacity Plan/Actual Compare
ZROLL_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,ROLL NUM
ZRISH_F,BW75S4H003,M,,D,,ABR,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Finanace data
ZRISH,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,22,51,35,137",20250225,,Stock Finanace Data
ZRISH,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,22,51,35,124",20250225,,Stock Finanace Data
ZRICHA,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,22,61,11,656",20250226,,Banking Data
ZRICHA,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,22,61,11,643",20250226,,Banking Data
ZRIC2DS,ZCUS26,A,ACT,D,ZCUS26AC,,,,,,0,BEST,"2,02,50,42,81,23,539",20250428,ZRIC2DS,ZRIC2DS
ZRIC2DS,ZCUS26,M,ACT,D,ZCUS26AC,,,,,,0,BEST,"2,02,50,42,81,23,527",20250428,ZRIC2DS,ZRIC2DS
ZRIC2_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,ZRIC2
ZRIC1_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,ZRIC1
ZREAL_IC_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,REAL TIME INFO CUBE
ZRCAN,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,22,81,12,136",20250228,,candy sales
ZRCAN,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,22,81,12,125",20250228,,candy sales
ZRANA,BW75S4H004,A,ACT,D,0BW,,,,,,0,BEST,"2,02,50,81,71,52,407",20250817,Raniha Sales,Raniha Sales
ZRANA,BW75S4H004,M,ACT,D,0BW,,,,,,0,BEST,"2,02,50,81,71,52,352",20250817,Raniha Sales,Raniha Sales
ZR_TAR,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,41,52,850",20250304,,candy targets multiple
ZR_TAR,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,41,52,838",20250304,,candy targets multiple
ZR_RICH_F,BW75S4H003,M,,D,,ABR,X,,,,0,BEST,"2,02,50,52,11,05,233",20250521,,Banking Data
ZR_PRDUCT,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,41,51,752",20250304,,candy product multiple
ZR_PRDUCT,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,41,51,738",20250304,,candy product multiple
ZR_MCAN,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,41,51,535",20250304,,candy sales multiple
ZR_MCAN,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,41,51,521",20250304,,candy sales multiple
ZR_INFO,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,61,04,509",20250306,,datasource for load data dso to infocube
ZR_INFO,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,61,04,455",20250306,,datasource for load data dso to infocube
ZR_CROSS,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,31,75,719",20250303,,crossfit games
ZR_CROSS,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,30,31,75,707",20250303,,crossfit games
ZPUPPY_F,BW75S4H003,M,,D,,,,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,Richa Financial data
ZPRODUCTS,ZGR_SRC,A,ACT,M,ZTEST_HL,,,,,,0,BEST,"2,02,50,70,11,55,303",20250701,Products,Products Data
ZPRODUCTS,ZGR_SRC,M,ACT,M,ZTEST_HL,,,,,,0,BEST,"2,02,50,70,11,55,249",20250701,Products,Products Data
ZPRODUCT_TEXT,T90CLNT090,M,INA,T,ZCOPA,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Product Text,Product Text
ZPROD_MD_DS1,ZGR_SRC,A,ACT,M,ZSUCH_DS,,,,,,0,BEST,"2,02,50,62,30,04,401",20250623,Product Master Data1,Product Master Data1
ZPROD_MD_DS1,ZGR_SRC,M,ACT,M,ZSUCH_DS,,,,,,0,BEST,"2,02,50,62,30,04,349",20250623,Product Master Data1,Product Master Data1
ZPROD_MD_DS,ZGR_SRC,A,ACT,T,ZSUCH_DS,,,,,,0,BEST,"2,02,50,62,22,35,928",20250622,Product Master Data,Product Master Data
ZPROD_MD_DS,ZGR_SRC,M,ACT,T,ZSUCH_DS,,,,,,0,BEST,"2,02,50,62,22,35,916",20250622,Product Master Data,Product Master Data
ZPROD_HIER_TEXT,T90CLNT090,M,INA,T,ZCOPA,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Product Hierarchy Text,Product Hierarchy Text
ZPRM_FINANCE_CATEGORY_TEXT,T90CLNT090,M,INA,T,ZZRPM_CUST_AD,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Finance Category Text,Finance Category Text
ZPRM_CAPACITY_CATEGORY_TEXT,T90CLNT090,M,INA,T,ZZRPM_CUST_AD,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Capacity Category Text,Capacity Category Text
ZPRD_NM_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,Product Name
ZPRD_ID_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,Product ID
ZPRADEEP67DS,Z_PRAD67SS,A,ACT,D,ZPRADEEPDEMO67AC,,,,,,0,BEST,"2,02,50,50,91,12,328",20250509,Pradeepdemo67MD,Pradeepdemo67SLD
ZPRADEEP67DS,Z_PRAD67SS,M,ACT,D,ZPRADEEPDEMO67AC,,,,,,0,BEST,"2,02,50,50,91,12,314",20250509,Pradeepdemo67MD,Pradeepdemo67SLD
ZPLANT_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,Plant
ZPDTID_AV_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,Produce Id
ZPDT_A_DS,ZFF_AV,A,ACT,M,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,10,45,856",20250211,Product Datasource,Product Datasource
ZPDT_A_DS,ZFF_AV,M,ACT,M,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,10,45,846",20250211,Product Datasource,Product Datasource
ZPAVIDS,T90CLNT090,M,ACT,D,SD,,,,,,0,BEST,"2,02,50,80,32,33,941",20250803,DS PAVI,PAVI DS
ZPAVIDS,ZPAVI,A,ACT,M,ZPAVIAC24,,,,,,0,BEST,"2,02,50,80,10,05,602",20250801,DS FILE,Pavi Data Source : F
ZPAVIDS,ZPAVI,M,ACT,M,ZPAVIAC24,,,,,,0,BEST,"2,02,50,80,10,05,550",20250801,DS FILE,Pavi Data Source : F
ZPAVIDS,T90CLNT090,A,ACT,D,SD,,,,,,0,BEST,"2,02,50,73,10,02,431",20250731,DS PAVI,PAVI DS
ZP_PRDT_F,BW75S4H003,M,,D,,ABR,X,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,Product Data ADSO
ZNISHITHA_FILE,NEW FLAT,M,,M,NODESNOTCONNECTED,,,,,,0,BEST,"2,02,50,21,82,15,823",20250218,,FILE
ZNISHITHA,ZCUST_MAT,M,,M,ZDSSTUDENT,,,,,,0,BEST,"2,02,50,21,82,20,822",20250218,,nishitha
ZNIRAV2,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,41,71,04,952",20250417,,UK Train rides
ZNIRAV2,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,41,71,04,938",20250417,,UK Train rides
ZNIRAV,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,31,71,72,406",20250317,,Financial data
ZNIRAV,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,31,71,72,354",20250317,,Financial data
ZN_TOYS,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,62,71,23,509",20250627,,toys
ZN_TOYS,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,62,71,23,454",20250627,,toys
ZN_TASK2_F,BW75S4H003,M,,D,,,,,,,0,BEST,"2,02,50,52,11,05,232",20250521,,UK Railway Rides
ZN_STORE,NEW FLAT,A,ACT,M,ZTEST,FIL0,,,,,0,BEST,"2,02,50,70,71,03,223",20250707,,Store Data of GER
ZN_STORE,NEW FLAT,M,ACT,M,ZTEST,FIL0,,,,,0,BEST,"2,02,50,70,71,03,208",20250707,,Store Data of GER
ZN_SPOTI,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,62,71,13,248",20250627,,Spotify data
ZN_SPOTI,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,62,71,13,235",20250627,,Spotify data
ZN_SALES2,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,31,81,11,352",20250318,,Sales data 2
ZN_SALES2,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,31,81,11,338",20250318,,Sales data 2
ZN_SALES1,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,31,81,11,219",20250318,,sales data 1
ZN_SALES1,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,31,81,11,206",20250318,,sales data 1
ZN_SALES,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,31,71,11,041",20250317,,Sales Data For GER
