Compute ID ,Version,Provider For Query ,GENUNIID,Component Type ,Query ID,Object Status,READMODE,ABAP Code,Created By ,Generation Time ,Generation Date (Last Execution Time),Last Used By ,Definition Changed Time ,Last Chnaged Date,Last Change Of Query Runtime Obj
!!AZQAN_CNDY,A,ZQAN_CNDY,ZQAN_CNDY/!!AZQAN_CNDY,REP,!!AZQAN_CNDY,ACT,H,GP003N7L7ESYA7PNTIBOJMB8JHP,BEST,"2,02,50,80,11,61,547",20250801,BEST,"2,02,50,80,11,61,547",20250801,"2,02,50,80,11,61,547"
003N7L7ESY9HNXUH1FXIDO3DG,A,ZPUPPY,ZPUPPY/ZSONU,REP,ZSONU,ACT,H,GP003N7L7ESY9JE8KNSEF2A831A,BEST,"2,02,50,22,61,73,646",20250226,BEST,"2,02,50,22,60,93,805",20250226,"2,02,50,22,61,73,646"
003N7L7ESY9HNXUH1FXIDO3DG,M,ZPUPPY,ZPUPPY/ZSONU,REP,ZSONU,ACT,H,GP003N7L7ESY9HNXUHQS0R070VY,BEST,"2,02,50,22,51,55,030",20250225,BEST,"2,02,50,22,51,55,420",20250225,"2,02,50,22,51,55,438"
003N7L7ESYA9FYM394TYK3FFT,A,ZPAADSO4,ZPAADSO4/ZPAADSO4_Q001,REP,ZPAADSO4_Q001,ACT,H,GP003N7L7ESYA9FYM3IWHAL68EK,BEST,"2,02,50,80,40,00,252",20250804,BEST,"2,02,50,80,32,35,716",20250803,"2,02,50,80,40,00,252"
003N7L7ESYA9FYM394TYK3FFT,M,ZPAADSO4,ZPAADSO4/ZPAADSO4_Q001,REP,ZPAADSO4_Q001,INA,H,,,0,0,BEST,"2,02,50,80,32,35,716",20250803,0
003N7L7ESY9HNY5VJOK8JNES3,A,ZN_TASK2,ZN_TASK2/Z_QUERY1,REP,Z_QUERY1,ACT,H,GP003N7L7ESYA7PRGJF2SZBNU2L,BEST,"2,02,50,42,81,03,158",20250428,BEST,"2,02,50,60,21,93,129",20250602,"2,02,50,90,21,73,151"
003N7L7ESY9HNY5VJOK8JNES3,M,ZN_TASK2,ZN_TASK2/Z_QUERY1,REP,Z_QUERY1,ACT,H,GP003N7L7ESYA7PEWNIOUR1AWGB,BEST,"2,02,50,42,81,03,158",20250428,BEST,"2,02,50,42,81,10,022",20250428,"2,02,50,50,90,90,921"
003N7L7ESYA7POALGINGJD4QN,A,ZN_SINGLE,ZN_SINGLE/ZDN_SINGLE_FILTER,SOB,ZDN_SINGLE_FILTER,ACT,H,GP003N7L7ESYA7POALZA7JB634S,BEST,"2,02,50,80,51,00,639",20250805,BEST,"2,02,50,80,50,95,904",20250805,"2,02,50,80,51,00,639"
003N7L7ESY9HNXU7LO0EAG0LV,A,ZN_NIRAV,ZN_NIRAV/ZN_QUERY1,REP,ZN_QUERY1,ACT,H,GP003N7L7ESYA7PS5WTYYSQ2ELE,BEST,"2,02,50,91,01,75,507",20250910,BEST,"2,02,50,22,71,42,733",20250227,"2,02,50,91,01,75,507"
003N7L7ESY9HNXU7LO0EAG0LV,M,ZN_NIRAV,ZN_NIRAV/ZN_QUERY1,REP,ZN_QUERY1,INA,H,GP003N7L7ESY9JE97SMNTICGVGI,BEST,"2,02,50,30,51,41,511",20250305,BEST,"2,02,50,22,71,42,733",20250227,"2,02,50,30,51,41,511"
003N7L7ESY9HNY5YSM8RQG41P,A,ZN_CUBE1,ZN_CUBE1/ZC_QUERY1,REP,ZC_QUERY1,ACT,H,GP003N7L7ESY9HNY5ZEHS513QNO,BEST,"2,02,50,22,61,20,737",20250226,BEST,"2,02,50,22,61,72,815",20250226,"2,02,50,22,61,72,857"
003N7L7ESY9HNY5YSM8RQG41P,M,ZN_CUBE1,ZN_CUBE1/ZC_QUERY1,REP,ZC_QUERY1,ACT,H,GP003N7L7ESY9HNY5ZEHS513QNO,BEST,"2,02,50,22,61,20,737",20250226,BEST,"2,02,50,22,61,20,728",20250226,"2,02,50,22,61,20,737"
003N7L7ESYA7P8XZ7QZAKD4S6,A,ZMSHMPR12,ZMSHMPR12/ZMSHMPR12_Q001,REP,ZMSHMPR12_Q001,ACT,H,GP003N7L7ESYA7P8XZ9IRPGU7I0,BEST,"2,02,50,31,51,13,543",20250315,BEST,"2,02,50,31,51,13,443",20250315,"2,02,50,31,51,13,543"
003N7L7ESYA7P8Z17OB5UCWJW,A,ZMAT_CP,ZMAT_CP/ZQUERY_AIR_MAT,REP,ZQUERY_AIR_MAT,ACT,H,GP003N7L7ESYA7P8Z1S840OBWN9,BEST,"2,02,50,31,60,05,139",20250316,BEST,"2,02,50,31,60,04,711",20250316,"2,02,50,31,60,05,139"
003N7L7ESYA7P8Z17OB5UCWJW,M,ZMAT_CP,ZMAT_CP/ZQUERY_AIR_MAT,REP,ZQUERY_AIR_MAT,ACT,H,GP003N7L7ESYA7P8Z1EX8DETL24,BEST,"2,02,50,31,60,04,400",20250316,BEST,"2,02,50,31,60,03,950",20250316,"2,02,50,31,60,04,400"
003N7L7ESY9HNY5XS6BZ77P5X,A,ZMAH,ZMAH/Z_BAN,REP,Z_BAN,ACT,H,GP003N7L7ESYA9FM7RA9GJTCBXM,BEST,"2,02,50,41,21,22,551",20250412,BEST,"2,02,50,41,21,22,543",20250412,"2,02,50,41,21,22,551"
003N7L7ESY9HNY5XS6BZ77P5X,M,ZMAH,ZMAH/Z_BAN,REP,Z_BAN,ACT,H,GP003N7L7ESYA9FM7R9K5W8Y73C,BEST,"2,02,50,41,21,22,526",20250412,BEST,"2,02,50,41,21,22,520",20250412,"2,02,50,41,21,22,526"
003N7L7ESYA9FKHGUKXVWKTIP,A,ZM_PRDID,ZM_PRDID/ZL_FILTER,REP,ZL_FILTER,ACT,H,GP003N7L7ESYA9FKHGYM59KP8C6,BEST,"2,02,50,32,61,44,413",20250326,BEST,"2,02,50,32,61,44,155",20250326,"2,02,50,32,61,44,413"
003N7L7ESY9HNYRXR9WKG1CFA,A,ZM_MULTI,ZM_MULTI/ZM_QUEM,REP,ZM_QUEM,ACT,H,GP003N7L7ESY9JE99VVE2FOFUZ4,BEST,"2,02,50,30,61,45,212",20250306,BEST,"2,02,50,30,61,45,259",20250306,"2,02,50,30,61,60,952"
003N7L7ESY9HNYRXR9WKG1CFA,M,ZM_MULTI,ZM_MULTI/ZM_QUEM,REP,ZM_QUEM,ACT,H,GP003N7L7ESY9JE99S4255U8XFR,BEST,"2,02,50,30,61,45,212",20250306,BEST,"2,02,50,30,61,45,204",20250306,"2,02,50,30,61,45,212"
003N7L7ESY9JE97LXQEWV1FT1,A,ZM_CANSAL,ZM_CANSAL/ZM_SALCAN,REP,ZM_SALCAN,ACT,H,GP003N7L7ESY9JE97N99AW65SIK,BEST,"2,02,50,30,51,20,359",20250305,BEST,"2,02,50,30,51,20,352",20250305,"2,02,50,30,51,22,410"
003N7L7ESY9JE97LXQEWV1FT1,M,ZM_CANSAL,ZM_CANSAL/ZM_SALCAN,REP,ZM_SALCAN,ACT,H,GP003N7L7ESY9JE97M7O4VD76FX,BEST,"2,02,50,30,51,20,236",20250305,BEST,"2,02,50,30,51,15,655",20250305,"2,02,50,30,51,20,236"
!!1ZIN_CPUNIT,A,ZIN_CPUNIT,ZIN_CPUNIT/!!1ZIN_CPUNIT,REP,!!1ZIN_CPUNIT,ACT,H,GP003N7L7ESYA7POW3GY4CAB90O,BEST,"2,02,50,81,11,01,845",20250811,BEST,"2,02,50,81,11,01,845",20250811,"2,02,50,81,11,01,845"
003N7L7ESYA7PB4ZIA8FFXR16,A,ZIC_ET,ZIC_ET/ZTR_REP,REP,ZTR_REP,ACT,H,GP003N7L7ESYA7PB526XYY096UU,BEST,"2,02,50,40,42,22,751",20250404,BEST,"2,02,50,40,42,31,943",20250404,"2,02,50,40,42,31,952"
003N7L7ESYA7PB52CM7EQF6Z0,A,ZIC_ET,ZIC_ET/ZTOP_N,REP,ZTOP_N,ACT,H,GP003N7L7ESYA7PB52HKYJSSOIC,BEST,"2,02,50,40,42,32,558",20250404,BEST,"2,02,50,40,42,32,551",20250404,"2,02,50,40,42,32,558"
003N7L7ESYA7PB5534QJ3MODS,A,ZIC_ET,ZIC_ET/ZMTD2_REP,REP,ZMTD2_REP,INA,H,GP003N7L7ESYA7PB5AW80A36WPG,BEST,"2,02,50,40,50,21,940",20250405,BEST,"2,02,50,40,50,21,937",20250405,"2,02,50,40,50,21,940"
003N7L7ESYA7PB52OJ3IPH1K3,A,ZIC_ET,ZIC_ET/ZMONTH,REP,ZMONTH,ACT,H,GP003N7L7ESYA7PB52RJ2I17LT4,BEST,"2,02,50,40,42,33,140",20250404,BEST,"2,02,50,40,42,33,119",20250404,"2,02,50,40,42,33,140"
003N7L7ESY9HNYRR6G34HK7CY,A,ZIC_EKBE,ZIC_EKBE/ZMP_EKBE_Q001,REP,ZMP_EKBE_Q001,ACT,H,GP003N7L7ESYA7P9FKZPLXTEZIS,BEST,"2,02,50,31,91,13,959",20250319,BEST,"2,02,50,30,91,63,918",20250309,"2,02,50,31,91,13,959"
003N7L7ESY9JE985L91MB9FTW,A,ZIC_EKBE,ZIC_EKBE/ZFMOV_TYP,SOB,ZFMOV_TYP,INA,H,,,0,0,BEST,"2,02,50,30,51,84,300",20250305,0
003N7L7ESY9HNZCW00141KN8A,A,ZI_INDCUC,ZI_INDCUC/ZI_CUBEQ,REP,ZI_CUBEQ,ACT,H,GP003N7L7ESY9HNZCW3PD7EE6QP,BEST,"2,02,50,31,01,14,443",20250310,BEST,"2,02,50,31,01,14,512",20250310,"2,02,50,31,01,14,518"
003N7L7ESY9HNZCW00141KN8A,M,ZI_INDCUC,ZI_INDCUC/ZI_CUBEQ,REP,ZI_CUBEQ,ACT,H,GP003N7L7ESY9HNZCW3PD7EE6QP,BEST,"2,02,50,31,01,14,443",20250310,BEST,"2,02,50,31,01,14,236",20250310,"2,02,50,31,01,14,443"
003N7L7ESY9JE9T2N3KIX6UR4,A,ZI_COM,ZI_COM/ZI_QUERY,REP,ZI_QUERY,ACT,H,GP003N7L7ESY9JE9T2OUX4CCMR7,BEST,"2,02,50,31,11,15,347",20250311,BEST,"2,02,50,31,11,15,246",20250311,"2,02,50,31,11,15,347"
003N7L7ESY9JE9T2N3KIX6UR4,M,ZI_COM,ZI_COM/ZI_QUERY,REP,ZI_QUERY,INA,H,,,0,0,BEST,"2,02,50,31,11,15,246",20250311,0
003N7L7ESYA7PC57RT5VFRG2M,A,ZG_TEST,ZG_TEST/ZN_QRY1,REP,ZN_QRY1,ACT,H,GP003N7L7ESYA7PRGJEP632CANW,BEST,"2,02,50,90,21,73,139",20250902,BEST,"2,02,50,41,31,11,330",20250413,"2,02,50,90,21,73,139"
003N7L7ESYA7PC57R2L06ICDA,A,ZG_TEST,ZG_TEST/Z_QRY1,REP,Z_QRY1,INA,H,,,0,0,BEST,"2,02,50,41,31,11,306",20250413,0
003N7L7ESYA7PC57SF18BA8MA,A,ZG_TEST,ZG_TEST/QUERY1,REP,QUERY1,INA,H,,,0,0,BEST,"2,02,50,41,31,11,351",20250413,0
003N7L7ESYA7P9DY6WTRSQFP8,A,ZG_SALESS,ZG_SALESS/Z_QRYS,REP,Z_QRYS,ACT,H,GP003N7L7ESYA7P9DYIXYB42YAO,BEST,"2,02,50,31,81,53,157",20250318,BEST,"2,02,50,32,02,13,131",20250320,"2,02,50,31,81,53,157"
003N7L7ESYA7P9DY6WTRSQFP8,M,ZG_SALESS,ZG_SALESS/Z_QRYS,REP,Z_QRYS,ACT,H,GP003N7L7ESYA7P9DYDPBLHDT78,BEST,"2,02,50,31,81,52,857",20250318,BEST,"2,02,50,31,81,52,854",20250318,"2,02,50,31,81,52,857"
003N7L7ESYA7PRGJGL5AVX534,A,ZG_SALES,ZG_SALES/ASDFGHJ,REP,ASDFGHJ,INA,H,,,0,0,BEST,"2,02,50,90,21,73,243",20250902,0
003N7L7ESY9HNYRYIDCPIXPI0,A,ZG_GERCB1,ZG_GERCB1/ZG_QRY1,REP,ZG_QRY1,ACT,H,GP003N7L7ESYA9FNSAAUYOI1PBC,BEST,"2,02,50,42,61,04,359",20250426,BEST,"2,02,50,41,81,21,946",20250418,"2,02,50,42,61,04,359"
003N7L7ESY9HNYRYIDCPIXPI0,M,ZG_GERCB1,ZG_GERCB1/ZG_QRY1,REP,ZG_QRY1,ACT,H,GP003N7L7ESY9JE9TB2TW6KFZDP,BEST,"2,02,50,30,71,25,107",20250307,BEST,"2,02,50,31,11,44,150",20250311,"2,02,50,31,11,44,706"
003N7L7ESY9JE99JGCAELJQM7,A,ZG_GERCB,ZG_GERCB/ZG_CUBQRY1,REP,ZG_CUBQRY1,ACT,H,GP003N7L7ESYA9FNSAQRMWDRW5T,BEST,"2,02,50,42,61,05,307",20250426,BEST,"2,02,50,32,02,13,131",20250320,"2,02,50,42,61,05,307"
003N7L7ESY9JE99JGCAELJQM7,M,ZG_GERCB,ZG_GERCB/ZG_CUBQRY1,REP,ZG_CUBQRY1,INA,H,,,0,0,BEST,"2,02,50,30,61,15,317",20250306,0
003N7L7ESY9HNYRTH3K8YKAFO,A,ZG_GER,ZG_GER/ZG_QRYCUB,REP,ZG_QRYCUB,ACT,H,GP003N7L7ESYA9FKF6TXYH910BA,BEST,"2,02,50,32,51,02,713",20250325,BEST,"2,02,50,32,51,02,711",20250325,"2,02,50,32,51,02,713"
003N7L7ESY9HNYRTH3K8YKAFO,M,ZG_GER,ZG_GER/ZG_QRYCUB,REP,ZG_QRYCUB,ACT,H,GP003N7L7ESYA9FKF5CGT3HOCX0,BEST,"2,02,50,32,50,95,632",20250325,BEST,"2,02,50,32,41,80,449",20250324,"2,02,50,32,50,95,632"
003N7L7ESY9HNYRCP1C483T8V,A,ZG_GAME,ZG_GAME/ZG_CRSGM,REP,ZG_CRSGM,ACT,H,GP003N7L7ESY9HNYRDPTJ10V1UJ,BEST,"2,02,50,30,41,11,407",20250304,BEST,"2,02,50,30,41,11,400",20250304,"2,02,50,30,41,11,407"
003N7L7ESY9HNYRCP1C483T8V,M,ZG_GAME,ZG_GAME/ZG_CRSGM,REP,ZG_CRSGM,ACT,H,GP003N7L7ESY9HNYRDJ6IOA0JYQ,BEST,"2,02,50,30,41,11,018",20250304,BEST,"2,02,50,30,41,11,011",20250304,"2,02,50,30,41,11,018"
003N7L7ESYA7PC7HH2ASYVUQ1,A,ZG_CSTM,ZG_CSTM/ZTEST,REP,ZTEST,INA,H,,,0,0,BEST,"2,02,50,41,41,52,139",20250414,0
003N7L7ESYA7PC7HH2ASYVUQ1,M,ZG_CSTM,ZG_CSTM/ZTEST,REP,ZTEST,INA,H,,,0,0,BEST,"2,02,50,41,41,52,139",20250414,0
003N7L7ESYA7PC7GJ19X0O45C,A,ZG_CSTM,ZG_CSTM/Z_QRY2,REP,Z_QRY2,INA,H,,,0,0,BEST,"2,02,50,41,41,50,207",20250414,0
003N7L7ESYA7PC57XHOPN1T7T,A,ZG_CSTM,ZG_CSTM/QWUDVAK,REP,QWUDVAK,INA,H,,,0,0,BEST,"2,02,50,41,31,11,646",20250413,0
003N7L7ESYA7PC7GYS3WANQCH,A,ZG_CSTM,ZG_CSTM/FGHJKJHGBN,REP,FGHJKJHGBN,INA,H,,,0,0,BEST,"2,02,50,41,41,51,110",20250414,0
003N7L7ESY9HNYXL8CCFWABLS,A,ZDSOEKBE,ZDSOEKBE/ZEKBE_QUERY_002,REP,ZEKBE_QUERY_002,ACT,H,GP003N7L7ESY9HNYXLTQJ6O69GR,BEST,"2,02,50,30,71,62,445",20250307,BEST,"2,02,50,30,71,61,228",20250307,"2,02,50,30,71,62,445"
003N7L7ESY9HNYXL2SB9P3QCV,A,ZDSOEKBE,ZDSOEKBE/ZEKBE_QUERY_001,REP,ZEKBE_QUERY_001,ACT,H,GP003N7L7ESYA9FOCU5KJ5PLTZA,BEST,"2,02,50,50,12,32,103",20250501,BEST,"2,02,50,32,02,13,131",20250320,"2,02,50,50,12,32,103"
003N7L7ESY9JE97XCPT0ODIW9,A,ZDSO_ET,ZDSO_ET/ZEMP_TRANS_DATA_Q01,REP,ZEMP_TRANS_DATA_Q01,ACT,H,GP003N7L7ESYA7PDRI10KHOS1MJ,BEST,"2,02,50,42,80,71,819",20250428,BEST,"2,02,50,40,42,13,233",20250404,"2,02,50,42,80,71,819"
!!1ZDN_PCNDY,A,ZDN_PCNDY,ZDN_PCNDY/!!1ZDN_PCNDY,REP,!!1ZDN_PCNDY,ACT,H,GP003N7L7ESYA7POAKNL26D0TU9,BEST,"2,02,50,80,50,93,916",20250805,BEST,"2,02,50,80,50,93,916",20250805,"2,02,50,80,50,93,916"
!!1ZDN_CNDY1,A,ZDN_CNDY1,ZDN_CNDY1/!!1ZDN_CNDY1,REP,!!1ZDN_CNDY1,ACT,H,GP003N7L7ESYA7PNPCOPC6L8AYS,BEST,"2,02,50,73,01,24,355",20250730,BEST,"2,02,50,73,01,24,355",20250730,"2,02,50,73,01,24,355"
003N7L7ESYA7PNP6K2FQJZIQC,A,ZDN_CANDY,ZDN_CANDY/ZPQN_CNDY,REP,ZPQN_CNDY,ACT,H,GP003N7L7ESYA7PS7G2SX0IP6Y7,BEST,"2,02,50,91,11,25,637",20250911,BEST,"2,02,50,73,01,03,716",20250730,"2,02,50,91,11,25,637"
!!1ZDN_CANDY,A,ZDN_CANDY,ZDN_CANDY/!!1ZDN_CANDY,REP,!!1ZDN_CANDY,ACT,H,GP003N7L7ESYA7PNPC5G8QC89JT,BEST,"2,02,50,73,01,23,251",20250730,BEST,"2,02,50,72,91,72,728",20250729,"2,02,50,73,01,23,251"
003N7L7ESYA9FPCXMP3PKILYP,A,ZDEL_IC,ZDEL_IC/ZDELIVERY_NUM_Q001,REP,ZDELIVERY_NUM_Q001,ACT,H,GP003N7L7ESYA9FPDAWRO4AVVP9,BEST,"2,02,50,51,01,14,322",20250510,BEST,"2,02,50,51,01,50,523",20250510,"2,02,50,51,01,50,537"
!!1ZD_PRVDR,A,ZD_PRVDR,ZD_PRVDR/!!1ZD_PRVDR,REP,!!1ZD_PRVDR,ACT,H,GP003N7L7ESYA9FYR772NUBTOQM,BEST,"2,02,50,80,61,51,758",20250806,BEST,"2,02,50,80,61,51,758",20250806,"2,02,50,80,61,51,758"
003N7L7ESYA9FYR6I6NBTY7UZ,A,ZD_AGG,ZD_AGG/ZD_FILTER,SOB,ZD_FILTER,ACT,H,GP003N7L7ESYA9FYR87SOEH5V48,BEST,"2,02,50,80,61,53,903",20250806,BEST,"2,02,50,80,61,53,853",20250806,"2,02,50,80,61,53,903"
!!1ZCPN_UNITC,A,ZCPN_UNITC,ZCPN_UNITC/!!1ZCPN_UNITC,REP,!!1ZCPN_UNITC,ACT,H,GP003N7L7ESYA9G0BUAIUO99HHP,BEST,"2,02,50,82,01,50,025",20250820,BEST,"2,02,50,81,11,10,941",20250811,"2,02,50,82,01,50,025"
!!1ZCPN_UCFRST,A,ZCPN_UCFRST,ZCPN_UCFRST/!!1ZCPN_UCFRST,REP,!!1ZCPN_UCFRST,ACT,H,GP003N7L7ESYA7POQDOXRVVY5TY,BEST,"2,02,50,80,81,12,653",20250808,BEST,"2,02,50,80,71,80,640",20250807,"2,02,50,80,81,12,653"
!!1ZCPN_RVTOYS,A,ZCPN_RVTOYS,ZCPN_RVTOYS/!!1ZCPN_RVTOYS,REP,!!1ZCPN_RVTOYS,ACT,H,GP003N7L7ESYA7POEL4NVRZBGN6,BEST,"2,02,50,80,71,12,428",20250807,BEST,"2,02,50,80,71,12,428",20250807,"2,02,50,80,71,12,428"
!!1ZCPN_RPTOYS,A,ZCPN_RPTOYS,ZCPN_RPTOYS/!!1ZCPN_RPTOYS,REP,!!1ZCPN_RPTOYS,ACT,H,GP003N7L7ESYA7POEI1XCZSYXOI,BEST,"2,02,50,80,71,02,054",20250807,BEST,"2,02,50,80,71,02,054",20250807,"2,02,50,80,71,02,054"
!!1ZCPN_PRDT,A,ZCPN_PRDT,ZCPN_PRDT/!!1ZCPN_PRDT,REP,!!1ZCPN_PRDT,ACT,H,GP003N7L7ESYA7POEYBO0OULBMB,BEST,"2,02,50,80,71,55,706",20250807,BEST,"2,02,50,80,71,55,706",20250807,"2,02,50,80,71,55,706"
!!1ZCPN_GCTOYS,A,ZCPN_GCTOYS,ZCPN_GCTOYS/!!1ZCPN_GCTOYS,REP,!!1ZCPN_GCTOYS,ACT,H,GP003N7L7ESYA7POENO9WZXEDHN,BEST,"2,02,50,80,71,21,702",20250807,BEST,"2,02,50,80,71,21,702",20250807,"2,02,50,80,71,21,702"
!!1ZCPN_G2K,A,ZCPN_G2K,ZCPN_G2K/!!1ZCPN_G2K,REP,!!1ZCPN_G2K,ACT,H,GP003N7L7ESYA9FZ51QCO3G8A6E,BEST,"2,02,50,80,81,64,851",20250808,BEST,"2,02,50,80,81,64,851",20250808,"2,02,50,80,81,64,851"
!!1ZCPN_FTOYS,A,ZCPN_FTOYS,ZCPN_FTOYS/!!1ZCPN_FTOYS,REP,!!1ZCPN_FTOYS,ACT,H,GP003N7L7ESYA9FYRCU7R4NY2AC,BEST,"2,02,50,80,61,71,434",20250806,BEST,"2,02,50,80,61,71,434",20250806,"2,02,50,80,61,71,434"
!!1ZCPN_DTOYS,A,ZCPN_DTOYS,ZCPN_DTOYS/!!1ZCPN_DTOYS,REP,!!1ZCPN_DTOYS,ACT,H,GP003N7L7ESYA9FYRF6U885XN0E,BEST,"2,02,50,80,61,80,308",20250806,BEST,"2,02,50,80,61,80,308",20250806,"2,02,50,80,61,80,308"
!!1ZCPN_DRTOYS,A,ZCPN_DRTOYS,ZCPN_DRTOYS/!!1ZCPN_DRTOYS,REP,!!1ZCPN_DRTOYS,ACT,H,GP003N7L7ESYA7POETDSXPHGPMA,BEST,"2,02,50,80,71,41,500",20250807,BEST,"2,02,50,80,71,41,500",20250807,"2,02,50,80,71,41,500"
!!1ZCPN_DKTOYS,A,ZCPN_DKTOYS,ZCPN_DKTOYS/!!1ZCPN_DKTOYS,REP,!!1ZCPN_DKTOYS,ACT,H,GP003N7L7ESYA7POEVPHS2UOLZK,BEST,"2,02,50,80,71,50,302",20250807,BEST,"2,02,50,80,71,50,302",20250807,"2,02,50,80,71,50,302"
003N7L7ESYA7PS7KJDGJCZ370,A,ZCPN_CTOYS,ZCPN_CTOYS/ZVN_NIRAV,REP,ZVN_NIRAV,ACT,H,GP003N7L7ESYA7PS7L5UINEVAXM,BEST,"2,02,50,91,11,44,141",20250911,BEST,"2,02,50,91,11,44,112",20250911,"2,02,50,91,11,44,141"
003N7L7ESYA7PS7KJDGJCZ370,M,ZCPN_CTOYS,ZCPN_CTOYS/ZVN_NIRAV,REP,ZVN_NIRAV,ACT,H,GP003N7L7ESYA7PS7KRQ3XOKR9C,BEST,"2,02,50,91,11,43,335",20250911,BEST,"2,02,50,91,11,43,244",20250911,"2,02,50,91,11,43,335"
!!1ZCPN_CTOYS,A,ZCPN_CTOYS,ZCPN_CTOYS/!!1ZCPN_CTOYS,REP,!!1ZCPN_CTOYS,ACT,H,GP003N7L7ESYA9FYRA8Y5R3JSK5,BEST,"2,02,50,80,61,62,102",20250806,BEST,"2,02,50,80,61,50,257",20250806,"2,02,50,80,61,62,102"
!!1ZCPN_CNDY,A,ZCPN_CNDY,ZCPN_CNDY/!!1ZCPN_CNDY,REP,!!1ZCPN_CNDY,ACT,H,GP003N7L7ESYA9FY5N2CQMP5YB5,BEST,"2,02,50,73,11,41,119",20250731,BEST,"2,02,50,73,10,93,859",20250731,"2,02,50,73,11,41,119"
!!1ZCP_YEAR,A,ZCP_YEAR,ZCP_YEAR/!!1ZCP_YEAR,REP,!!1ZCP_YEAR,ACT,H,GP003N7L7ESYA7PNTJ2WVJSQY99,BEST,"2,02,50,80,11,63,125",20250801,BEST,"2,02,50,80,11,61,049",20250801,"2,02,50,80,11,63,125"
003N7L7ESY9JE8O3MC6JJSSOF,A,ZCANCOM,ZCANCOM/ZCANQ,REP,ZCANQ,ACT,H,GP003N7L7ESYA9FJAQZYF0BOPR4,BEST,"2,02,50,31,41,72,620",20250314,BEST,"2,02,50,31,41,72,612",20250314,"2,02,50,31,41,72,620"
003N7L7ESY9JE8O3MC6JJSSOF,M,ZCANCOM,ZCANCOM/ZCANQ,REP,ZCANQ,ACT,H,GP003N7L7ESYA9FJAQWYR5V97X7,BEST,"2,02,50,31,41,72,437",20250314,BEST,"2,02,50,31,41,72,429",20250314,"2,02,50,31,41,72,437"
